id_ref,phase,start,end,path,description,en,is,image
1,S15.1,1650,1760,"m 57.494667,30.297927 -0.08924,1.00398 2.141828,0.245419 1.561748,0.513146 3.21274,0.267727 -0.111553,4.127479 4.618315,-0.356971 0.356971,-8.321889 -4.997596,0.35697 -0.245419,2.387246 -2.811148,0.133863 z","Located on the eastern side of the main axial corridor (Structure XIII), about halfway along, was a small chamber with two large square vats dug into the ground. Documentary inventories from 1674 and 1698 refer to a whey store with two vats or ‘sýruker í jörðu’, and this was probably built sometime between 1630 and 1674. The earlier plan shows a small room oriented north-south with a central entrance from the main corridor which matches the excavated room [887]. In its original form, the whey store [887] was a large, two-celled room with a central passage [1270] leading into the main axial corridor (Structure XIII; [751]). The room was 4.4m long and 2.7m wide with stone faced walls [2760], divided into two square cells each 2.8 x 2.3m, cut down to an extant depth of 1.9m, though the southern cell was deeper than the northern one ([1102]/[1103]). Both cells had originally contained wooden vats for holding whey, but these had been dismantled when the room was re-built in a later phase. Based on surviving traces, their construction appears to have consisted of a mixed red/pink/white clay lining ([982]/[1030]/[1091]) along the sides and base of the cut, with timber cladding forming the inside of the vat. Textiles and horsehair had been used as caulking to seal any gaps.   A very narrow ledge ran around the perimeter of the vats, surfaced with turf ([1019], [1072]) and covered with ashes ([844], [1016], [1010]); its possible the wooden lining originally extended a little higher than this surface, but otherwise the ledge could have provided a surface for throwing planks across the vat, either for walking over and/or covering them. The ledge however certainly provided a surface for the roof supports – at each corner and at each end of a center ridge between the vats were postpads on which would have rested timbers for holding up the roof, three pairs in total. The passage [1270] leading into the room from the corridor was 0.85m wide and 3.75m long, with well preserved walls and a flagged floor ([864/1075]). No closely dateable finds were retrieved from any of these deposits, and the best TPQ came from ceramics in the passage, which dated from c. 1650, but with a wide date range.  In 1630, a wheystore (sýruklefi) is mentioned but it is hard to know of this is the same structure; it contained barrels and a large container which could hold the volume of 60 barrels. The first reliable mention which can be correlated with the archaeological remains is from 1674 where it is described as two bays long, containing two dug-down vats and in good condition. However it appears to have been re-built/renovated in 1693 as the 1698 inventory describes the same layout (but now three bays long); it also has a door with a latch. In this inventory, the building is called the drink store (Drÿckiarklefinn) but the word dryckur was commonly used to refer to whey drink. There is no change in the 1722 inventory but by 1744 it is described as old so by 1747 it has been repaired and in good condition again. In 1759, it has acquired a new door and in the list of moveable, two whey vats (sýruker) are listed. The drawing from 1745/6 shows a building with a central passage off the main corridor called the Sýruklefinn which matches the archaeological plan very well. It seems to be absent from the 1764 inventory – possibly it was being re-built at the time.",Wheystore,sýruklefi,t
2,S20.1,1650,1670,"m 77.083459,7.7641224 -1.784858,7.8533656 5.39919,1.450195 7.69719,1.093224 1.561748,-0.156175 v 0.847807 l 0.490836,0.178485 0.780876,-3.458157 -0.26773,-0.490836 0.535456,-3.168119 -4.462139,-1.561749 z","This structure lay in the eastern wing of the complex and at the dog-leg between the two passages connecting the cathedral with the main axial corridor. It had been heavily damaged by the cutting of deep foundations for the hay barn (Structure II). Nonetheless, three successive sequences of floor either side of a stone-lined and capped drain were well preserved (S20.1-20.3). The walls [748] of the room were however very poorly preserved; in a few places, the basal course of stone and turf survived, but in others, nothing except a disturbed spread of turf and stone. Their thickness is estimated at c.2m. Preservation was best at the eastern end. The eastern wall is probably part of an earlier structure, and in fact seems to be the outer edge of the western wall of Structure XXI, suggesting this latter building may be older than the dormitory. However, there are clearly earlier structures beneath both buildings (designated as Structure 0 or S0) but what was observed was so fragmentary and partial any relationships must remain speculative. In all, the building was c.9.1 m long by c.3.6m wide and substantially lower than the rest of the complex; at the eastern end, the room stepped up to enter the school room (Structure XXI) as there was no obvious doorway, while at the west end it either stepped up too or the corridor at this time must have been much lower (see Structure XIII; the height difference is c. 0.5m) In this earliest phase, it does not appear as if there was a drain, or if there was it was rebuilt in the next phase (see S20.2, below).   The primary (excavated) floor [436] was composed of compacted birch bark and twigs, possibly stained with charcoal. Its northwestern corner was completely truncated by the haybarn and its southern edge had clearly also been somewhat nibbled away. A later drain (see next phase) also cut a narrow section out of the centre of the floor. No obvious features were identified in this room. On the north side in the middle was the remains of a possible upright post/stake [677] but it was not very clear. In the south eastern corner of the building at the base of the floor sequence was an area of flagstones [736] associated with an ash deposit [742] and a turf patch [741]. It is possible a stove was originally located here, although this feature may even belong to an earlier phase of activity. A stove tile was found in the floor layer associated with this phase.  Dating from the floor came from clay pipes and ceramic, both of which indicate an early 17th century date with a TPQ of 1650. Given the cumulative nature of the floor, the TPQ should be read with some flexibility. However, a single clay pipe find from the upper part of this floor [368] returned a TPQ of 1767 which is likely to be intrusive. Indeed, the dating of all three of the earliest phases of this structure contains material of a wide date range which might relate to disturbance and mixing caused by renovations and cleaning. It suggests that the temporal integrity of finds in these phases must be treated with caution and the risk of finds contamination high.",School Dormitory,skólaskáli,t
3,S21.1,1650,1690,"m 97.096153,8.5896182 5.711537,0.7585638 0.11156,0.6470102 -0.42391,0.8478068 -0.37928,2.298001 -0.71394,2.342624 0.58007,1.271709 2.20876,0.245418 0.22311,-0.423903 2.0749,0.290039 -0.13387,2.945012 -0.31235,0.111553 -4.28365,-0.95936 0.11155,0.401593 -1.07091,0.156175 -0.2008,3.346604 -0.0446,1.227089 -0.49083,3.056565 -6.113136,-0.803185 0.535456,-4.283654 0.580081,-3.770507 -0.200798,-0.31235 -2.699594,-0.602389 0.312349,-1.584059 3.078876,0.178485 0.245417,-1.070913 0.87012,-2.052585 0.267726,-3.4804683 z","East of Structure XX lay a similar-sized building but oriented at 90 degrees to it. The structure was 3.2m wide and at least 8.2m long north-south, its stone-faced and turf/earth filled walls [1058] not very well preserved, as essentially the same stones had been robbed/re-used during re-building in a later phase. The walls were though c. 1.8m thick. The north and south ends appear to have had wooden gables but the south end is more disturbed and probably missing sections of wall which would have made the building a little longer (c. 9.2m). At the south end in the centre was a solid stone cobbled surface [1046], which may be a platform for some kind of furniture. There was a connecting door/short passage in the centre of the west wall to the adjacent building (Structure XX), while on the opposing eastern wall, opposite the door, was a recessed fireplace [153]. In its original construction the fireplace appears to have comprised an L-shaped structure of stone [1107] set far back into a deep U-shaped recess, 2.75m long by 0.7m wide; there was a space of c. 1.1m in front of the fireplace within this recess, which was laid with flagstones [1112]. Stratified remains of multiple firings [1110], [1109], [1097], [1093]) were found within the fireplace, with fuel residues of both chracoal and peatash present. The area within the fireplace was 1.3 by 0.4m. No close dating was associated with the fireplace.  The primary floor was a turf and stone layer [947] which extended over most of the room except for an area 1.5 x 2m in the southeast corner. As excavated, there were stratigraphic problems insofar as ash layers in the fireplace seemed to interdigitate with the floor [947]. It is likely that there has been a lot of disturbance here, a fact supported by the very unstable nature of the deposits beneath the floor layer (which may be due to voids between rubble or stones in these underlying, unexcavated layers). Two such layers were excavated ([1078], [1122]) and it is unclear if they are associated with this room or earlier occupation. A large depression [923], 1 x 1.4m and 0.2m deep was filled with mixed turf and floor material [920] lay in the centre of the floor at the northern end of the room between two postpads; is uncertain what this feature represents but it could mark the removal/robbing of some structural or other feature.  Through the centre of the building, running east-west was a linear channel [1041] which was 2.5m long, 06m wide and 13 cm deep. At its eastern end, the channel opened out into a larger, irregular square hollow, just in front of the fireplace and the whole feature was filled with ashy, lensed deposits. During excavation, this whole feature (designated [1017]) was interpreted as a drain/sump, but the fill is not particularly suggestive of such and nor were there the usual side stones one sees in other drains on the site. Rather this probably represents an eroded surface due to heavy foot traffic between the fireplace and the entrance, which was later surfaced with flagstones. This area was very disturbed and it is probable that this feature continued in use into the next phase, especially given the dating associated with its fill.  Sealing the turf floor were fragmentary patches of a black, charcoal/ash floor ([894]), which survives best on the eastern side of the structure. A TPQ from this floor returned a date of c.1650. Localised floor levelling repairs were also identified in the northeast corner ([917], [918], [909]), suggesting this phase probably represents a fairly long time period.  The 1674 describes this structure – the school room (Scholinn) as seven bays long with panelled walls and benches all around; the room is clearly divided into an upper and lower class, but whether this was physically marked with a partition is unclear though the floor level certainly sloped down north to south. Based on a later map, the upper class would have been north of the fireplace and the lower class, south. The upper class was also provided with shelves (‚med slidrum‘) for storing papers. There was a hinged door into the room, and an inglenook (Önsstofan) is briefly mentioned.",School Room,skóli,t
4,S31.1,1650,1700,"m 32.908277,12.092398 17.335412,5.800781 -2.186448,7.05018 -17.023061,-5.064528 z","Only very slight and tentative traces of this structure were exposed; most of it lies unexcavated. As a result, any interpretation must be open to revision. Based on the excavated deposits however, it appears as if there was an original structure on the same alignment as structure XXIII to the west, whose floor layers survive as a strip truncated/sealed by the later south wall of structure V. These floors abutted the remains of a southern wall ([2552), [2381]) which aligns with the southern wall of Structure XXIII. The exposed/extant floor was only observed and excavated in a narrow strip c.0.6m wide. The base of this strip was laid with a flagstone surface [2360], over which were a sequence of overlapping turf layers, with occasional flagstones ([2358], [2346], [2339], [1331]). This was associated with finds returning a TPQ of 1700. Over this was an organic layer with lots of birch twigs [1323] , which was overlain by another organically-rich deposit [1434]. The primary organic layer was associated with a TPQ of 1650. A peatash dump [1427] lay at the eastern end, while above this was an organic layer [1421], rich in bone fragments; a TPQ of 1700 was associated with these. At the western end was small organic/charcoal layer [2370]. All of these layers seemed to abut the walls either side rather than go beneath them, but equally the walls could have truncated them. All of them resemble floor layers in terms of their composition.   Based on its location, any such structural remains in this area are likely to belong to the Bishops Former Living Quarters (Biskups badstofan gamla) described in the 1674 inventory as six bays long with wall panels, hinged door and in good condition. Included in the room was at table and bench as well as another, presumably smaller table and dresser for drinks.",Bishops Former Living Quarters,Biskupsbaðstofa (fyrri),
5,IS.1,1650,1720,,,Interstice,?,
6,MC.1,1650,1700,,,Midden Zone C,Öskuhaugur C,
7,S17.1,1670,1690,"m 1.3251878,61.337263 1.041219,0.315521 0.1893125,0.473282 11.4849607,-2.965898 6.405074,-0.473281 3.47073,-0.662593 1.325188,0.946562 0.03155,1.356741 4.985229,-0.75725 c 0,0 0.252418,2.208646 0.09466,2.208646 -0.157761,0 -4.82747,0.915011 -4.82747,0.915011 l 0.410177,2.019332 -0.788802,0.59949 -6.625939,0.44173 -6.878356,1.293635 -0.694146,-0.15776 -6.3419699,1.546053 -2.3033025,0.315521 z","This building, as with all three structures along the southern part of the complex, was fairly well preserved, protected by lying at a much lower elevation and sealed by thick, overlying midden deposits. The structure was c. 12.2m long and 3.6m wide with its northern wall surviving to a depth of 1.0m, the southern one 0.7m [2762]. It is likely the building had an internal wooden partition dividing it into two rooms. The building had two doors, one at the western end where originally, there was also a timber gable end leading to the outside and another at the eastern end, via a short passage [2326] 2.5m long and 0.8m/1.2m wide leading into Structure XVIII. Altogether, eight phases to this building were identified. However, at the end of the last season of excavation, an earlier floor was exposed – but remained unexcavated [3023]. This floor continued under the northern wall of the building suggesting that this wall has probably been re-built and was brought inward in the first phase identified here. Certainly what is called the first phase in this publication, is clearly not the primary phase of the building which must have an older history.  A floor layer [2953]/[2975] covered whole room but was thickest at the east end while at the west, there were stone flags on the surface. A further area of flags [3002] lay near the middle of the room. A wooden sill beam lay in situ across passage [2326]. The floor was composed of trampled ash and included lots of burnt bone. Against the south wall at the east end, discrete deposits of peatash [3001] and charcoal [3009] were both sealed by the main floor, suggesting they belong to an earlier phase. A micromorphology sample (s. 359) was taken from the floor layer for thin-sectioning and analysis. About 10 layers were identified and were much richer in large bone and charcoal fragments than the upper layers examined in another thin-section (see S17.6). There were only three or four thin blackish brown floor surfaces with a massive to platy structure due to trampling. The layers in between seem to be made up of turf, massive amounts of wood chippings, fragments of tree branches and other organic material as well as large charcoal and bone fragments (1-5 mm in length) with elongated fragments aligned fully horizontally due to compaction/trampling. Unburned wood chips were mostly identified as coniferous wood while the charcoal fragments were mostly birch and willow (rare). Low level of disturbance by soil fauna was present and excrement was identified as mostly coming from mites, especially found within larger porous bone fragments. A stone-lined drain [2960] ran the whole length of the room along the northern side, snaking out through the western entrance. The drain comprised a (probable) cut, sides stones and turf ([3000], [2963]), upper and lower fills ([2999], [2992], [2958]) and disturbed capstones (and sides stones) [2961]. The main floor [2953] had clearly accumulated against and over the drain. In addition, both rooms had ovens/fireplaces. In the western room [2763], the fireplace [2730] survived only partially – it was largely destroyed when it was re-built in the next phase. The floor also seems to have been disturbed in this area. The original fireplace consisted of truncated peatash deposits ([2957], [2956], [2952]) around its edges and was associated with a TPQ of 1670/80 from a clay pipe bowl. In the eastern room [2764], fire place [2951] (0.6 x0.75m) lay in the northeast corner of the room and had two in situ hearth deposits ([2996]) over a cleaning cut [2998] and a peatash rake-out dump [3017] just to the west. No dateable finds were retrieved from this phase.  Given the poor dating, it is difficult to correlate this structure with the documented sources. The earliest definite reference to this building is from the 1674 inventory and mentions two rooms: a meat store (kiotaskemman) and a kitchen (eldhusid). Given the order of description, the meat store is the easternmost room and the kitchen the western one; moreover the eastern room is described as quite large – seven bays, as opposed to the four of the kitchen. Despite minor changes, this layout more or less remains the same into and throughout the 18th century. There are two possibilities here; either Structure XVII includes both the meat store and the kitchen, or only the meat store, in which case the kitchen lies outside the area of excavation. Given the documented sizes, at 12.2m long this would mean either short bays of 1.1m or wide bays of 1.7m, either of which is possible. Nonetheless, in a later phase, there are nine pairs of postpads suggesting eight bays – which matches the description from 1722. Moreover, there were no obvious partitions observed archaeologically, though the denser paving at the western end could indicate a division into a small western room and a larger eastern one. Perhaps the most relevant evidence here concerns the subsequent histories of the two rooms in the inventories. The kitchen appears to have been built in 1672 and remained in use until c. 1760 when it was replaced by/converted into a drying shed, while the meat store continues through to the 1780s and archaeologically, there is no indication of the western half being abandoned. In conclusion, Structure XVII almost certainly relates only to the meat store with the kitchen remaining unexcavated. From the 1674 description the meat store had a wooden gable at one end with a door and this probably means the western end, which futher suggests the kitchen must have been a separate structure. The description remains the same in 1698 but the building is now described as worn. ",Meat Store,kjötskemma,t
8,S18.1,1670,1680,"m 30.826392,56.793762 0.410178,1.956231 -0.631041,0.623152 0.0631,1.987783 1.127987,-0.134096 0.620824,2.090925 21.038986,-5.622295 -1.941031,-6.224683 z","Connected to Structure XVII to the east lay another long building, 11.4m long and at least 2.8m wide, marked on historic plans as a pantry, presumably for keeping dry foods and dairy products. Based largely on the inventories, it does not seem as if this structure was connected to the main corridor (Structure XIII) in its earliest phase but rather a wide aisle separated this building from the refectory (Structure XIX) further to the west. The aisle would probably have had wooden gable walls at each end with doors at one or both ends.  The northern edge of the building was not fully excavated as a later rebuild resulted in its north wall being set further south than in the original construction , probably by c. 0.5m if one assumes the drain is centrally placed. This would have made the building c. 3.3m wide. The southern wall [1894] only survived as a foundation course as its upper part had been robbed and demolished during a later rebuilding (see S18.6 below). In the interests of safety/stability (and aesthetics), this later north wall was not removed during the excavation. The primary (unexcavated floor) in this structure was constructed with substantial cobbles ([2554], [2556/7]); it remains unknown how many (if any) earlier phases of this structure exist. Along the northern edge of the room ran a drain [2488], consisting of sidestones [2555] and capstones [2489], with a drain fill [2493]. At the eastern end of the room was a cobbled platform [2046], which probably supported a sill beam for a wooden partition wall separating this room from the axial corridor. Associated with the floor were three barrel pits, [2452] in the southwest corner and another [3033], slightly larger to the east. The third barrel pit [2447] was twice the size of the other two and replaced the easternmost one. Remains of preserved wood staves and hoops as well as copper alloy clench bolts were retrieved from both pits. The third barrel pit was distinctive also in being clay lined and is clearly reminiscent of the whey vats excavated in structure XV.  Barrel pit [2452] was defined by a cut [2483] 0.85m in diameter but only 0.18m deep, set within or related to a localized levelling layer [2484]; in the base of the cut was a dark silty layer [2480] over which lay remains of the base of the stave barrel [2479]. The rest of the barrel had probably been removed as there were no further traces of it. About 1.3m to the east of the last one was the slightly larger [3033], c. 1.3m in diameter and c. 0.8m deep; most of this barrel pit had been truncated by the later barrel pit [2447] which replaced it. The original pit was defined by a cut [2562] but no traces of the barrel itself remained; the cut was backfilled [2530] with turf, probably after the installation of the later barrel [2447].   The cut [2559] of this later barrel pit was c. 1.9m in diameter and 0.9m deep, but although a larger cut, the barrel inside it was much smaller c.1.1m in diameter. Remains of the base and sides of barrel [2518] were found in situ, as well as a clay lining [2519] behind the barrel; between the clay lining and the edge of the cut was a thick backfill layer [2558].This is an unusual construction and two explanations present themselves; either a much larger barrel was initially intended or installed in the cut, or the thick infill between the barrel and the cut was an attempt to increase impermeability – either of the contents of the barrel leaking out or (more likely) ground water seeping in. Indeed, this may have been the reason why the original barrel pit [3033] was replaced. Also, the westernmost barrel pit [2452] was cut significantly shallower than these two, suggesting groundwater was less of a problem at this depth. The clay lining around the barrel would support this second hypothesis.   No close dating came from any of the deposits in this phase. The inventory from 1674 describes the building (Bur) as in good condition having recently been repaired; it was 6 bays long and a door separated this from the adjacent meat store (Structure XVII) as well as having a main door, presumably at the eastern end.",Pantry,búr,t
9,S20.2,1670,1700,"m 77.996766,7.7618142 -2.129766,7.8406948 5.158766,1.262083 9.528733,1.230532 0.599491,-2.492615 -0.315521,-0.59949 0.552161,-3.155209 -4.117549,-1.35674 -0.07888,-0.5048334 ","The main changes in this phase involved the installation of a drain and the laying of new floors. A turf floor levelling layer ([739], [740], [1113]) was laid over the primary floor, with a TPQ of 1660/1670. Over this was a cumulative floor [435] of birch bark and twigs as before. Most of the dating from this floor returned dates from the mid 17th century, but two dates had TPQs of 1700, one of 1720 and another of 1750. These derive from different locales across the floor, but the latter two came from more disturbed areas ([411], [448]). It either suggests the stratigraphic integrity of this floor is compromised as with the previous phase. A micromorphology sample (s.52) was taken through this floor and thin-sectioned and analysed. The section revealed a very low activity area up against the northern wall, no sign of trampling, and composed of a six or seven layer sequence of redish brown organic rich turf. Rare to occasional inclusions of charcoal and bone fragments rarely larger than 1 mm occurred as well as slithers of hair, most likely horse hair. Larger charcoal fragments (> 1 mm) were mostly identified as birch (common) and willow (rare).   Through the centre of the room ran a drain [308], which cut the primary floor [436]. It started just in front of the eastern wall and ran at least 8.7m westward; its western extent was not found as it continued beneath unexcavated deposits. It probably linked up with a drain system in the western part of the complex – probably an earlier phase of the main axial corridor (see Structure XIII, S13.1). All of the drain capstones were missing (probably removed during the construction of the haybarn), but some large flags [293] lay along the edges which may represent disturbed capstones or part of a flagged floor. The side stones and fill were well preserved. The sides [311] were constructed from  large basalt blocks (c. 15 x 40 x 30 cm) set upright to create a channel 25-35cm wide and 45-50cm deep with stones also lining the base [312]. The drain appared to slope from east to west, consistent with the terminus at the east end and a probably connection to a drain system at the west. The stones all lay within a cut [735] which was 0.5m wide and c.0.25m deep. The primary drain fill [272] was excavated in 1m segments and was composed of rich organic silts. A TPQ from this primary fill returned a date of c. 1730/1740 but as with the floor, most of the dated finds fell within the late 17th and early 18th century. Given the continued use of the drain in the next phase, this TPQ probably relates to its terminal period. At the western end for about 2m, natural silts [292] had sealed this primary fill.   The inventory from 1674 describes the dormitory (Scóla skálinn) as five bays long, with panelled walls and eight beds on each side of the room; it is described as being sturdy and in good shape but with old timber. There is a hinged door into the room. The room this refers to was obviously built/repaired some time before this. Sometime during Bishop Þorlákssons encumbency (1674-1697) the building was modified for by 1698 it is described as well made, the same size (five bays) but now with ten box beds (with doors) on each side and the main door has a lock.",School Dormitory,skólaskáli,t
10,S22.1,1670,1700,"m 70.10021,14.345778 h 1.918719 l -0.08924,7.295598 -0.334661,0.223107 -5.176084,0.04462 -0.06693,-0.468524 -0.580078,-0.133864 0.133866,-3.324294 0.468524,0.06693 -0.111554,-0.847807 1.048602,-0.111553 3.034255,0.06693 0.08924,-2.119516 -0.490836,-0.02231 z","Located south of the side passage [106] associated with the axial corridor (Structure XIII), was a small building. Unfortunately, the eastern half of the room was completely truncated by the haybarn (Structure II), bisecting the room almost perfectly in half; what remained was the eastern part including most of the doorway into the passage [106]. The extant part measured c. 2.5m wide and 2.5m long, and given its description as three bays long, it would seem only the last bay/one third has been truncated indicating an original length of c.3.8m. It was in very bad condition, much of its walls [1059/847/861] damaged probably due to the building of a later structure over this (Structure XXIX), although substantial and artefact-rich floors survived. The extant walls were c. 1.4-1.6m thick. The interior was covered with a turf levelling layer  ([1008], [1039], [1045], [1051], [1054]). A TPQ of 1630 came from this layer, though two finds also returned TPQ‘s of 1700. The entrance from the room into the passage [106] was equally disturbed, but remains of an intact flagstone surface [1171] was found which is probably contemporary with the primary floor [1011] which consisted of scattered flagstones and charcoal/ash floor with wood chips. The base of a stave vessel <4489> lay embedded in the floor in the centre of the room, cut in half by the haybarn construction; it made from coniferous wood with a diameter of 380mm. A TPQ of 1674 came from a clay pipe in this floor.    The 1674 inventory called this building the teacher‘s house (locatshusid), which is where the assistant teacher – presumably of the lower/younger class – resided. It is described as three bays long, furnished with two beds, a table and a bench and in good shape.  In 1698, it seems to only be two bays long (but this is ambiguous), has panelled walls and a lockable door besides two beds, a table and chair.",Assistant Teachers Quarters,locats hús,t
