SiteCode,No,NoType,GroupNo,Space,Building Phase,Area,Unit type,Unit entropy,Description,Sieved,Date,ID,Start Date,End Date,Period_Date,Attribution
SKH02,1,Deposit,752,752,LH,161/743,Demolition,disorganized,1958 levelling layer/turf,FALSE,13/05/2002,GL,,1958,1930-1960,Levelling Horizon
SKH02,2,Group,2,2,S2.1,161,Building,in situ,20th c. Haybarn,FALSE,16/05/2002,GL/MS,1902,1930,1900-1930,Haybarn
SKH02,3,Deposit,2,2,S2.1,161,Wall,in situ,stone & concrete lining for 1902 haybarn,FALSE,16/05/2002,GL/MS,1902,1930,1900-1930,Haybarn
SKH02,4,Cut,2,2,S2.1,161,Building,in situ,foundation cut for 1902 haybarn,FALSE,16/05/2002,GL/MS,1902,1930,1900-1930,Haybarn
SKH02,5,Deposit,635,2,S2.1,161,Wall,in situ,stone & concrete lining for 20th c. Silo,FALSE,16/05/2002,GL/MS,1902,1930,1900-1930,Haybarn
SKH02,6,Cut,635,2,S2.1,161,Silo,in situ,cut for 20th c. Silo,FALSE,16/05/2002,GL/MS,1902,1930,1900-1930,Haybarn
SKH02,7,Group,7,7,T1.2,161,Excavation,in situ,Guðmundur Ólafsson´s T-1984:1 trenches,FALSE,21/05/2002,GL,1984,1986,1960-1990,Guðmundur Ólafsson Excavation
SKH02,8,Deposit,818,7,T1.2,161,Excavation,in situ,Guðmundur Ólafsson trench T-1984:1.1-2 (F),FALSE,22/05/2002,GL/UÆ,1984,1986,1960-1990,Guðmundur Ólafsson Excavation
SKH02,9,Cut,818,7,T1.2,161,Excavation,in situ,Guðmundur Ólafsson trench T-1984:1.1-2 (F),FALSE,22/05/2002,GL/UÆ,1984,1986,1960-1990,Guðmundur Ólafsson Excavation
SKH02,10,Deposit,822,7,T1.2,161,Excavation,in situ,Guðmundur Ólafsson trench T-1984:1.3 (E),FALSE,22/05/2002,OH,1984,1986,1960-1990,Guðmundur Ólafsson Excavation
SKH02,11,Cut,822,7,T1.2,161,Excavation,in situ,Guðmundur Ólafsson trench T-1984:1.3 (E),FALSE,22/05/2002,OH,1984,1986,1960-1990,Guðmundur Ólafsson Excavation
SKH02,12,Deposit,823,7,T1.2,161,Excavation,in situ,Guðmundur Ólafsson trench T-1984:1.4 (D),FALSE,22/05/2002,OV,1984,1986,1960-1990,Guðmundur Ólafsson Excavation
SKH02,13,Cut,823,7,T1.2,161,Excavation,in situ,Guðmundur Ólafsson trench T-1984:1.4 (D),FALSE,22/05/2002,OV,1984,1986,1960-1990,Guðmundur Ólafsson Excavation
SKH02,14,Deposit,300,300,S4.6,161,Midden,in situ,19th c. Midden dump,TRUE,24/05/2002,OV,,1890,1870-1900,Pantry/Kitchen
SKH02,15,Group,163,15,V,161,Building,in situ,Inner room of Bishops quarters; now VOID,FALSE,24/05/2002,OV,,,,
SKH02,16,Deposit,745,745,S1.1-2,161,External area,disturbed,fill of 20th c. pit/disturbance,FALSE,28/05/2002,RT,1930,1952,1930-1960,Outhouse
SKH02,17,Cut,745,745,S1.1-2,161,External area,disturbed,20th c. cut/disturbance,FALSE,28/05/2002,RT,1930,1952,1930-1960,Outhouse
SKH02,18,Deposit,300,300,S4.6,161,Wall,disorganized,roof collapse,FALSE,29/05/2002,OV,,1890,1870-1900,Pantry/Kitchen
SKH02,19,Deposit,3026,3026,MA.2,161,Midden,in situ,20th c. ash midden,FALSE,30/05/2002,RT,1910,1930,1900-1930,Midden Zone A
SKH02,20,Deposit,752,752,MA.2,161,Drain,in situ,19th/20th c. Drain,FALSE,30/05/2002,CH,1910,1930,1900-1930,Midden Zone A
