"Find No","ID","Context No","Fasteners  No","Element","Photo/Drawing","Material","Completeness","Wire x-section","Form","Length","ID1","Note","Building Phase","Start Date","End Date","Real Date","Period_Date","Attribution"
2427,63,402,63,"hook","n","Copper alloy","complete",,"double","2.1",1,"Double hook - small wire hook with a bent shaft - for clothing - dated 16th-early 18th c","S20.2",1670,1700,"1670-1700","1660-1720","School Dormitory"
2588,64,543,64,"hook","n","Copper alloy","complete",,"double","3.4",2,"Double hook - small wire hook; one end has broken off - for clothing - dated 16th-early 18th c","S4.3",1780,1800,"1780-1800","1780-1810","Lodge/Dining Room & Chambers"
10173,65,1861,65,"hook","n","Copper alloy","complete",,"double","2.9",3,"Double hook - small copper hook fastener with a slightly curved shaft and a pointy hook; one end broken off - dated 16th-early 18th c","S31.2",1700,1720,"1700-1720","1690-1720","Bishops Dining Room"
14914,61,2872,61,"hook","n","Iron","complete",,"double","1.3",4,"Double hook - small hook - like part of safetypin; prob clothing fastener or shearing hook; nearly identical to ID 1494 - dated 16th-early 18th c","S23.1",1700,1720,"1700-1720","1690-1720","Bishops Living Quarters"
14914,62,2872,62,"hook","n","Iron","complete",,"double","1.4",5,"Double hook - small  hook; nearly identical to ID 90 - dated 16th-early 18th c","S23.1",1700,1720,"1700-1720","1690-1720","Bishops Living Quarters"
696,30,37,30,"eye","y","Copper alloy","fragment","flattened","ornate","1.5",6,"leaf - missing the loop ""milla""","S20.6",,1790,"1790","1780-1810","School Dormitory"
6542,2,65,2,"eye","y","Copper alloy","complete","flattened","ornate","2.4",7,"like a leaf","S4.5",1840,1890,"1840-1890","1840-1900","Pantry/Kitchen"
1681,28,332,28,"eye","y","Copper alloy","complete","flattened","ornate","2.7",8,"part of a ""milla""","S5.5",1800,1830,"1800-1830","1780-1840","Pantry/Study & Library"
1948,44,374,44,"hook","y","Copper alloy","complete","flattened","ornate","3.7",9,"Moulded decorated fastener, similar to ""Milla"" but a bit more solid. On the side were the hook is on the back is a decoration a diamond shape with waffle pattern. Next ot the diamond is a rounded flower pattern with a central boss and eight small holes ar","S8.2",1750,1800,"1750-1800","1750-1810","Nursery/Private Chambers"
3668,29,1090,29,"eye","y","Copper alloy","complete","flattened","ornate","1.9",10,"leaf ""milla""","MC.3",1750,1900,"1750-1900","1750-1810","Midden Zone C"
7274,31,1346,31,"eye","y","Copper alloy","complete","flattened","ornate","2.8",11,"flower - ""milla""","S5.2",1740,1760,"1740-1760","1720-1780","Bishops Dining Room"
7296,32,1362,32,"eye","y","Copper alloy","fragment","flattened","ornate","2.3",12,"flower - ""milla""","S18.8",1790,1830,"1790-1830","1780-1840","Midden"
7335,22,1448,22,"eye","y","Copper alloy","complete","flattened","ornate","1.2",13,"like a crown","S5.2",1740,1760,"1740-1760","1720-1780","Bishops Dining Room"
19353,56,1,56,"eye","n","Copper alloy","complete","flattened","simple","1.1",14,,"LH",,1958,"1958","1930-1960","Levelling Horizon"
1569,59,284,59,"eye","y","Iron","complete","rounded","simple","7.6",15,"Possible coated with some other material like silver - rather larger","S20.2",1670,1700,"1670-1700","1660-1720","School Dormitory"
2802,1,547,1,"hook","n","Copper alloy","fragment","rund/flatt","simple","1,5-2,5",16,"missing the end of the hook","S20.2",1670,1700,"1670-1700","1660-1720","School Dormitory"
2637,35,556,35,"eye","n","Copper alloy","complete","rounded","simple","1.3",17,"in two pices","MC.1",1650,1700,"1650-1700","1630-1720","Midden Zone C"
2706,67,566,67,"eye","n","Iron","complete",,"simple","2.8",18,"large eyelet, part of one loop broken","MC.1",1650,1700,"1650-1700","1630-1720","Midden Zone C"
2738,58,568,58,"eye","y","Iron","complete","flattened","simple","5.4",19,"Possible coated with some other material like silver - rather larger","MC.1",1650,1700,"1650-1700","1630-1720","Midden Zone C"
2735,68,568,68,"eye","n","Iron","fragment",,"simple","1.5",20,"1 arm broken, wire made, looped ends","MC.1",1650,1700,"1650-1700","1630-1720","Midden Zone C"
2956,33,591,33,"eye","n","Copper alloy","complete","rounded","simple","1.7",21,,"MC.1",1650,1700,"1650-1700","1630-1720","Midden Zone C"
3585,27,838,27,"eye","n","Copper alloy","complete","rounded","simple","1.1",22,,"S13.2",1750,1800,"1750-1800","1750-1810","Main Corridor"
18234,71,933,71,"eye","n","Copper alloy","fragment",,"simple",,23,"loop of shank or eye of eyelet","S4.1",1720,1760,"1720-1760","1720-1780","Lodge/Dining Room & Chambers"
3602,26,952,26,"hook","n","Copper alloy","complete","rounded","simple","1-1,6",24,,"S5.3",1760,1780,"1760-1780","1750-1780","Bishops Dining Room"
19003,70,988,70,"eye","n","Iron","complete",,"simple",,25,"eye of eyelet or button shanl; attachment loops missing","S30.1",1670,1720,"1670-1720","1660-1720","School Master's House"
3716,72,1011,72,"hook","n","Iron","complete",,"simple","4.2",26,"double looped end with long shaft; poss not bent into hook/unused; clothing fastener","S22.1",1670,1700,"1670-1700","1660-1720","Assistant Teachers Quarters"
3769,75,1134,75,"hook","n","Copper alloy","complete",,"simple","1.1",27,"double bent loop with two eyelets at one end; classic hook fastener for eye","MC.3",1750,1900,"1750-1900","1750-1810","Midden Zone C"
