"ID","Find no","Horseshoe  no","Context no","Photo/Drawing","Completness","Length","Span","Web","Heel terminal shape","Heel terminal tickness","Calkin","Toe clip","Toe bar","Fullering","Countersinking","Number of nails holes","Shape of nail holes","Note","GroupNo","Space","Area","Unit type","Unit entropy","Sieved","Building Phase","Start Date","End Date","Duration","Period_30","Attribution"
31,5939,11,591,"N","right branch",,,2,"pointed","normal","N","N","N","N","N","1-2","rectangular",,754,"383","383","Wall","disorganized",1,"MC.1",1650,1700,50,"1630-1720","Midden Zone C"
65,8667,65,1638,"N","right branch",,,2.8,"pointed","normal","N",,,"N",,"1","rectangular",,1257,"1257","743","External area","disturbed",1,"C.2-3",1720,1850,130,"1720-1870","Courtyard"
39,1323,19,243,"N","left branch",,,2.5,"square","normal","N","N","N","N","N",,,"very corrioson",691,"691","743","Wall","disorganized",0,"S11.4",1740,1740,1,"1720-1750","Priests Living Quarters"
70,8564,71,1292,"N","toe",9,8.9,2.4,"pointed","normal","N","N","N",,,,,"Lust missing the right heel - Very corroded - not possible to see any nail holes or the shape",1320,"1320","743","Wall","disorganized",0,"S12.2",1740,1740,1,"1720-1750","Living Quarters"
34,8680,14,1681,"N","right branch",7.4,,2,"pointed","normal","N","N","N","N","N","1-2","rectangular",,1656,"1335","1293","Floor","in situ",0,"S18.6",1760,1770,10,"1750-1780","Pantry"
24,1407,4,282,"N","right branch",8.3,,2.4,"rounded","normal","N","N","N","N","N",,,"hole on the top - skrap skeifa?",1101,"1101","743","Wall","disorganized",0,"S10.4",1800,1880,80,"1780-1900","Kitchen"
20,6038,62,1035,"N","left branch",,,1.9,"square","normal","N",,"N","N","Y","1","rectangular",,775,"775","743","Floor","in situ",0,"S7.3",1800,1840,40,"1780-1840","Vestibule & Corridor"
68,6069,69,1074,"Y","left branch",,,1.9,"square","normal","N",,,"N","Y","2","rectangular",,1269,"1269","161","Wall","disturbed",0,"S14.2",1800,1800,1,"1780-1810","Corridor to Church"
66,355,67,33,"N","right branch",,,2.6,"rounded","normal","N",,,"N","N","1","rectangular",,3027,"3027","161","Wall","in situ",0,"S31.1",1830,1890,60,"1810-1900","Outhouses?"
30,394,10,77,"N","complete",8.3,9.9,2.6,"rounded","normal","N","N","N","N","N","2-3","square","very corrioson",39,"39","161","Roof","disorganized",0,"S8.4",1850,1850,1,"1840-1870","Children's Quarters/Private Chambers"
64,1149,64,182,"N","left branch",,,2.2,"pointed","normal","N",,,"N","N","2","rectangular","Just a half part of a horseshoe where the heel is rather pointed, but that can also be from a corrosion",48,"48","743","Midden","in situ",0,"S32.1",1850,1890,40,"1840-1900","Forge"
35,5966,15,829,"N","right branch",9.8,,2.3,"pointed","normal","N","N","N","N","N","2","rectangular","very corrioson",1257,"1257","743","External area","disturbed",0,"C.4",1850,1890,40,"1840-1900","Courtyard"
63,352,63,32,"Y","complete",9,7,2.1,"rounded","normal","N","N","N","N","N","2","rectangular",,1081,"1081","161","Slopewash","in situ",0,"MA.1",1870,1910,40,"1870-1930","Midden Zone A"
27,326,7,18,"Y","complete",10.5,11,2.5,"rounded","normal","Y","N","N","N","N","4","rectangular","part of the right branch broken",300,"300","161","Wall","disorganized",0,"S4.6",1890,1890,1,"1870-1900","Pantry/Kitchen"
33,6055,13,1056,"N","left branch",8.8,,2.5,"square","normal","N","N","N","N","N",,,"no nail holes viseble because of corrioson",650,"2","161","Drain","in situ",0,"S2.1",1902,1930,28,"1900-1930","Haybarn"
26,341,6,25,"N","complete",8.8,9.8,2.5,"rounded","normal","Y","N","N","N","N","2?","rectangular","part of the right branch broken",3026,"3026","161","Midden","in situ",0,"MA.2",1910,1930,20,"1900-1930","Midden Zone A"
23,1010,3,164,"N","left branch",7.1,,2.3,"rounded","normal","N","N","N","N","N",,,"hole on the top - skrap skeifa?",3026,"3026","743","Midden","in situ",0,"MA.2",1910,1930,20,"1900-1930","Midden Zone A"
38,5935,18,164,"N","complete",9.7,10.5,2.5,"square","normal","N","N","N","N","N","3","rectangular","one nail in nail hole",3026,"3026","743","Midden","in situ",0,"MA.2",1910,1930,20,"1900-1930","Midden Zone A"
67,2143,68,164,"Y","right branch",,,1.9,"pointed","normal","Y",,,,,,,"Very corroted but very nice calkin on the fragment",3026,"3026","743","Midden","in situ",0,"MA.2",1910,1930,20,"1900-1930","Midden Zone A"
2,306,44,1,"N","complete",10,9.9,2.5,"pointed","normal","N","N","N","N","N","2","rectangular",,752,"752","161/743","Demolition","disorganized",0,"LH",1958,1958,1,"1930-1960","Levelling Horizon"
4,306,46,1,"N","left branch",,,2.3,"square","normal","N","N","N","N","N","1","rectangular","nail in the hole",752,"752","161/743","Demolition","disorganized",0,"LH",1958,1958,1,"1930-1960","Levelling Horizon"
7,306,49,1,"N","right branch",9.1,,2.5,"square","normal","N","N","N","N","N","2","rectangular",,752,"752","161/743","Demolition","disorganized",0,"LH",1958,1958,1,"1930-1960","Levelling Horizon"
8,306,50,1,"N","right branch",9.9,,2.8,"square","normal","N","N","N","N","N","3","rectangular",,752,"752","161/743","Demolition","disorganized",0,"LH",1958,1958,1,"1930-1960","Levelling Horizon"
