ID1,ID,Find No,Button  No,Context No,Photo/Drawing,Material,Type,Composition,Joning (composite),Completeness,Condition,Shape,Typology,Size,Attachment,Number of holes,Hole alignment,Decoration method,hole profile,Shank-type,Colour,Decoration design,Gilt,Backstampe,Note,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
1,626,373,626,54,n,pewter,cast,solid,,incomplete,very poor,,A,,shanked,,,uncertain,,cast (loop),,,,,very bad corrosion,S20.5,1770,1790,1770-1790,1750-1810,School Dormitory
2,11,561,11,88,n,pewter,cast,solid,,incomplete,very poor,,A,,,,,,,,,,,,,S21.5,,1790,1790,1780-1810,School Room
3,67,566,67,94,n,copper alloy,cast,solid,,incomplete,very poor,domed,A1,,shanked,,,uncertain,,soldered (alpha),,,,,,S21.5,,1790,1790,1780-1810,School Room
4,94,2834,94,616,y,copper alloy,cast,solid,,complete,good,domed,A1,0.9,shanked,,,engraved,,cast (wedge),,lines like unven echequer,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
5,334,10380,334,2474,n,copper alloy,cast,solid,,incomplete,poor,domed,A1,1.3,shanked,,,moulded,,cast (wedge),,small dotts,,,,S8.1,1720,1750,1720-1750,1720-1750,Nursery
6,673,16790,673,2958,y,copper alloy,cast,solid,,complete,good,domed,A1,1.1,shanked,,,moulded,,soldered (alpha),,"nice decoration - small central circle with radiate lines, some dots decoration belowe that and on the edge is dots tight",,,,S17.1,1670,1690,1670-1690,1660-1690,Meat Store
7,720,7337,720,1449,n,lead,cast,solid,,complete,good,domed,A1,1.1,shanked,,,moulded,,soldered (alpha),,Two circels with the edge but other decoration unclear,,,,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
8,717,13869,717,2641,n,lead,cast,solid,,incomplete,poor,domed,A1,1.1,shanked,,,moulded,,cast (wedge),,medium boss in the central but other decoration is unclear (tenting off??),,,The shank and the decoration is in a bad shape,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
9,715,13810,715,2872,y,lead,cast,solid,,complete,good,domed,A1,1.1,shanked,,,moulded,,soldered (alpha),,"Rather unclear decoration, possible a human?",,,,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
10,68,1005,68,29,n,pewter,cast,solid,,complete,good,domed,A1,1.3,shanked,,,uncertain,,cast (loop),,,,,,S20.6,,1790,1790,1780-1810,School Dormitory
11,10,561,10,88,n,pewter,cast,solid,,complete,very poor,domed,A1,1.4,shanked,,,uncertain,,soldered (alpha),,small central boss,,,,S21.5,,1790,1790,1780-1810,School Room
12,13,561,13,88,y,pewter,cast,solid,,complete,good,domed,A1,1.4,shanked,,,engraved,,soldered,,four petal,,,Copper shanks,S21.5,,1790,1790,1780-1810,School Room
13,14,561,14,88,n,pewter,cast,solid,,incomplete,very poor,domed,A1,2,shanked,,,,,soldered (alpha),,,,,,S21.5,,1790,1790,1780-1810,School Room
14,8,569,8,102,n,pewter,cast,solid,,incomplete,very poor,domed,A1,1.1,shanked,,,uncertain,,cast (loop),,,,,,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
15,77,1560,77,283,n,pewter,cast,solid,,complete,good,domed,A1,1.1,shanked,,,uncertain,,soldered (alpha),,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
16,82,1604,82,286,n,pewter,cast,solid,,complete,good,domed,A1,1.2,shanked,,,moulded,,soldered (alpha),,floral - repoussé,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
17,83,1604,83,286,n,pewter,cast,solid,,complete,good,domed,A1,1,shanked,,,undecorated,,cast (wedge),,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
18,99,2626,99,554,n,pewter,cast,solid,,incomplete,very poor,domed,A1,1.1,shanked,,,uncertain,,cast (wedge),,,,,,S13.3,1800,1830,1800-1830,1780-1840,Main Corridor
19,87,3268,87,729,y,pewter,cast,solid,,complete,good,domed,A1,1.1,shanked,,,moulded,,cast (loop),,central boss with star around,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
20,113,3267,113,729,n,pewter,cast,solid,,complete,good,domed,A1,1.1,shanked,,,undecorated,,cast (loop),,,,,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
21,739,18742,739,891,n,pewter,cast,solid,,incomplete,poor,domed,A1,1.6,shanked,,,uncertain,,,,,,,The decoration is very corroted and not easy to see,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
22,154,3613,154,902,y,pewter,cast,solid,,complete,good,domed,A1,1.4,shanked,,,moulded,,cast (wedge),,central boss with radiate lines,yes,,,S30.2,1720,1740,1720-1740,1720-1750,School Master's House
23,159,3600,159,902,n,pewter,cast,solid,,complete,good,domed,A1,1.6,shanked,,,undecorated,,cast (loop),,,,,,S30.2,1720,1740,1720-1740,1720-1750,School Master's House
24,176,3574,176,956,n,pewter,cast,solid,,complete,poor,domed,A1,1.7,shanked,,,moulded,,soldered (omega),,uncertain,yes,,the shanks have broken of but are with the button,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
25,140,3592,140,988,y,pewter,cast,solid,,complete,good,domed,A1,1,shanked,,,moulded,,soldered (omega),,flower pattern,,,,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
26,170,3727,170,988,y,pewter,cast,solid,,complete,good,domed,A1,1.1,shanked,,,moulded,,soldered,,central boss with half flowers on the edge around,,,,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
27,173,3616,173,988,y,pewter,cast,solid,,complete,good,domed,A1,2.1,shanked,,,engraved,,soldered,,"central boss with flower around it, a dott box over the flower",yes,,,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
28,171,3685,171,1034,y,pewter,cast,solid,,complete,good,domed,A1,1.4,shanked,,,moulded,,soldered,,central boss with flower? Pattern,,,,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
29,152,3745,152,1161,y,pewter,cast,solid,,complete,good,domed,A1,1.1,shanked,,,undecorated,,soldered (alpha),,,,,pimple type,S6.3,1800,1890,1800-1890,1780-1900,Bishops Living Quarters
30,132,3780,132,1228,y,pewter,cast,solid,,complete,good,domed,A1,1.4,shanked,,,engraved,,soldered (alpha),,square box in the middle with lines from each corner and two lines from each side,,,,S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
31,251,7271,251,1329,n,pewter,cast,solid,,incomplete,poor,domed,A1,,shanked,,,moulded,,cast (wedge),,uncertain,,,,S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
32,215,7413,215,1627,n,pewter,cast,solid,,complete,good,domed,A1,1,shanked,,,moulded,,cast (loop),,unclear,,,,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
33,219,7426,219,1627,n,pewter,cast,solid,,incomplete,good,domed,A1,1,shanked,,,moulded,,soldered (alpha),,central boss,,,,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
34,286,10262,286,2195,n,pewter,cast,solid,,incomplete,good,domed,A1,1.1,shanked,,,undecorated,,soldered (alpha),,,,,,C.2,1720,1830,1720-1830,1720-1840,Courtyard
