ID1,ID,Find no,Nail no,Context no,Type code,Gavin type,Type,Head type,Photo/Drawing,Completness,Corrosion,Burnt,Straightness,Length,Grain direction,Burr,Shaft thickness,Shaft cross-section shape,Shaft sides,Pinching,Head thickness,Point type,Note,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
463,2335,14812,5936,2573,A1,Forged,Forged,flat-irregular,N,head,Very heavy,No,,,,,0.6,square,,,1.1,,Two nails stock togeather,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
2167,3687,11761,4951,2341,A1,Forged,Forged,flat-irregular,N,complete,light,No,obtuse (<90°),7.6,,,0.5,square,2-sided taper,,1.5,chisel,,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
2175,3672,11770,5049,2359,A1,Forged,Forged,flat-irregular,N,complete,light,No,obtuse (<90°),6.9,,,0.6,square,2-sided taper,,1.5,chisel,,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
2176,1225,12032,5025,2359,A1,Forged,Forged,flat-irregular,N,head,heavy,No,,,,,0.4,square,4-sided taper,,,,,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
2209,272,11801,4709,2425,A1,Forged,Forged,flat-irregular,N,complete,Very heavy,No,obtuse (<90°),6.1,,,0.6,square,4-sided taper,,1.6,sharp,,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
2210,341,11801,4710,2425,A1,Forged,Forged,flat-irregular,N,complete,Very heavy,No,straight,7.1,,,,square,4-sided taper,,1.5,sharp,,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
2211,1198,11801,4707,2425,A1,Forged,Forged,flat-irregular,N,head,Very heavy,No,,,,,0.6,square,4-sided taper,,1.8,,,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
2212,1199,11801,4708,2425,A1,Forged,Forged,flat-irregular,N,head,Very heavy,No,,,,,,square,4-sided taper,,,,,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
2324,664,1439,6298,2727,A1,Forged,Forged,flat-irregular,N,head,Very heavy,No,,,,,0.6,square,4-sided taper,,2,,,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
2337,1264,14765,6060,2765,A1,Forged,Forged,flat-irregular,N,head,heavy,No,,,,,0.7,square,4-sided taper,,1.5,,,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
2338,3708,14856,5989,2771,A1,Forged,Forged,flat-irregular,N,complete,light,No,obtuse (<90°),8.3,,,0.6,square,2-sided taper,,1.5,chisel,,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
2405,1256,14715,6221,2844,A1,Forged,Forged,flat-irregular,N,head,Very heavy,No,,,,,0.8,square,4-sided taper,,1.8,,,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
3194,4997,11815,5005,2454,A2,Forged,Forged,T-head,N,head,Very heavy,No,,,,,0.7,rectangular,2-sided taper,,2.4,,,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
3355,5158,14773,6300,2770,A2,Forged,Forged,T-head,N,complete,heavy,No,obtuse (<90°),6,,,0.6,square,2-sided taper,,1.7,sharp,Missing tip,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
3356,4434,14764,6059,2773,A2,Forged,Forged,T-head,N,complete,light,No,straight,4,,,0.7,rectangular,2-sided taper,,1.8,sharp,Missing tip,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
3674,4088,14830,5982,2573,A3,Forged,Forged,L-head,N,head,light,No,,,,,0.7,rectangular,2-sided taper,,1.5,,,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
3781,4215,11761,4950,2341,A4,Forged,Forged,square,N,complete,light,No,obtuse (<90°),8.4,,,0.8,square,2-sided taper,,1.6,chisel,,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
3861,4148,11761,4952,2341,A5,Forged,Forged,pyramidal,N,complete,light,No,straight,5,,,0.6,rectangular,2-sided taper,,1.9,sharp,Also T-head,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
3862,4170,11761,4953,2341,A5,Forged,Forged,pyramidal,N,head,heavy,No,,,,,0.6,rectangular,2-sided taper,,1.7,,Also T-head,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
4500,3086,11801,4712,2425,Ax,Forged,Forged,,N,shaft,Very heavy,No,,,,,0.6,square,,,,,,S23.2,,1720,1720,1690-1720,Bishops Living Quarters
4518,3123,14818,6203,2631,Ax,Forged,Forged,,N,shaft,Very heavy,No,,,,,0.3,square,,,,,,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
5273,5277,11761,4954,2341,Ax,Forged,Forged,,N,point,Very heavy,No,,,,,0.6,rectangular,2-sided taper,,,chisel,,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
5279,1984,11770,5050,2359,Ax,Forged,Forged,,N,shaft,heavy,No,,,,,0.5,square,4-sided taper,,,,,S25.3,,1720,1720,1690-1720,Boys Lodge (servants?)
