Finds No,ID,Unit No,Object,Category,material,Corrosion,Completeness,Size (mm),Fragment,Weight (g),Type,Notes,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
3731,,988,band,Structural_strapwork,pewter/tin?,none,fragment,"7 wide, 0.2 thick",1,0.5,,"band, folded over but not flattened",S30.1,1670,1720,1670-1720,1660-1720,School Master's House
4674,127,967,bar,bar,copper alloy,light corrosion,fragment,39x4,1,5.31,,"thick four sided, sq-sectioned. Part of some bigger artefact - cauldron foot/ingot?",S5.3,1760,1780,1760-1780,1750-1780,Bishops Dining Room
18252,129,1449,bar,bar,copper alloy,moderate corrosion,fragment,17x5,1,1.89,,Thick three-sided/triangular cros-section; part of some bigger artefact - cauldron foor?,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
3612,,881,bar,bar,copper alloy,moderate,complete,32x11x3.5,1,6.1,,trapezoidal bar with shallow indent on butt end; part of a mechanism? Styli?,S21.2,1690,1750,1690-1750,1690-1750,School Room
363,,37,bar,UNID,lead,moderate,fragment,35x4x3,1,1.2,,"small, rec- section bar; off-cut?",S20.6,,1790,1790,1780-1810,School Dormitory
3062,,596,bar,UNID,lead,light,fragment,34x5x3,1,4,,"tapering, thin rect-sectioned bar - poss off-cut",MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
10171,,1855,bar,UNID,lead,moderate,fragment,43x6x3,1,8.9,,"rect sectioned, narrow bar with perforation at one end - but both ends broken; weight or tie?",C.3,1830,1850,1830-1850,1810-1870,Courtyard
3599,,778,bar weight,Weight,lead,heavy,near complete,65x14x10,1,38.7,,bar weight with performation; plumb bob/fishing weight; Winchester no.430,S29.1,1780,1800,1780-1800,1780-1810,Infirmary
14897,,2831,bar weight?,Weight,lead,moderate,fragment,42x11x5,1,9.7,,"irreg bar, prob made from folding/rolling and flattening sheet; off-cut or weight?",S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1951,,362,bar weight?,Weight,lead,moderate,near complete,"40L, 7Th",1,9.9,,"solid, narrow shaft,tapering to a point; prob made by rolling sheet, tightly; same as 16689",S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
2817,,601,bar weight?,Weight,lead,heavy,fragment,33x17x12,1,25.9,,"rect sectioned, broken both ends but tapering - prob bar weight",S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
3718,,1011,bar weight?,weight,lead,light,fragment,21x6x2,1,2,,"thin, rectangular bar - weight?",S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
