Sherd group,Finds_No,Context,Group,Refits,Similar to,Vessel ID,Same as VID,Fabric code,ICP,Fabric Group,Broad fabric,Vessel type,Vessel group,Food type,Number of sherds,evrep,batch,Weight,eve (%rim),eve (%base),size (mm),Rim form,Decorated,colour,Decorative method,Pattern class,Pattern type,Matching set,Moulding method,Moulding type,Repair hole,Residue,Sooting,Burnt,Use-wear,Makers mark,Date,Notes,Photo,Building Phases_Building Phase,Real Date,Start date,End date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved,,
2,4,10,,,,,,unsourced porcelain,,Porcelain,POR,saucer,tableware,hot drink,1,1,FALSE,2.9,7,,130,,Decorated,blue,Hand painted,Floral,Mussel,TRUE,Press-moulded,fluted,FALSE,FALSE,FALSE,FALSE,,FALSE,late 18/19 c.,blue fluted pattern - Copenhagen?,FALSE,T1.2,1984-1986,1984,1986,1960-1990,Guðmundur Ólafsson Excavation,822,7,Excavation,in situ,FALSE,,
3,4,10,,,,,,unsourced porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,3.4,,,,,Decorated,gilt,Hand painted,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,handle with gilt stripe,FALSE,T1.2,1984-1986,1984,1986,1960-1990,Guðmundur Ólafsson Excavation,822,7,Excavation,in situ,FALSE,,
4,48,35,,,,683,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,1,1,FALSE,7,6,,220,,Decorated,blue,Hand painted,Floral,Mussel,TRUE,Press-moulded,fluted,FALSE,FALSE,FALSE,FALSE,,FALSE,19 c.,blue fluted,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disturbed,FALSE,,
5,48,35,,23,,,505,whiteware,,Refined earthenware,REW,bowl,tableware,wet food,1,1,FALSE,4,,,,,Decorated,polychrome,Hand painted,Geometric,Banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,19 c.,"pale brown banded upper, blue under",FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disturbed,FALSE,,
6,48,35,,,,,,unsourced porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,2.2,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,poss undecorated,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disturbed,FALSE,,
7,48,35,,,,,,unsourced porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,6.5,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,undecorated? Coffee can?,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disturbed,FALSE,,
8,48,35,,,,,,whiteware,,Refined earthenware,REW,plate,tableware,dry food,1,1,FALSE,3.6,,,,,Decorated,red,Hand painted,Geometric,Banded,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,19 c.,red banded - base of plate,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disturbed,FALSE,,
9,48,35,,460,,,459,unsourced porcelain,,Porcelain,POR,saucer,tableware,hot drink,1,1,FALSE,1.9,9,,120,,Decorated,pink,Decal,Geometric,Lozenge,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,20 c?,pink lozenge border; ?imitation of spongeware (see #51),TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disturbed,FALSE,,
10,48,35,,,102,,445,unsourced porcelain,,Porcelain,POR,soup plate,tableware,dry/wet food,1,1,FALSE,5.3,4,,240,,Decorated,pink,Decal,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,20 c.,Border of pink crosses and geometric flowers,TRUE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disturbed,FALSE,,
11,48,35,,,,,,whiteware,,Refined earthenware,REW,,,,5,,TRUE,14.4,,,,,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,undecorated sherds,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disturbed,FALSE,,
