SampleNo,Est Vol,Exact Vol,Description,Type,Processed,Fractio,Sub-Sampled,Missing?,FieldDate,FieldID,Unit,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
1,20,22,midden deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,31/05/2002,AFH,29,S20.6,,1790,1790,1780-1810,School Dormitory
2,20,19,charcoal deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,03/06/2002,CKH,38,S32.1,1850,1890,1850-1890,1840-1900,Forge
3,20,17,black deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,04/06/2002,AFH,59,S20.5,1770,1790,1770-1790,1750-1810,School Dormitory
4,0,,black deposit,Micromorph,FALSE,,FALSE,FALSE,04/06/2002,AFH,59,S20.5,1770,1790,1770-1790,1750-1810,School Dormitory
5,20,9,dark organic deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,11/06/2002,AFH,95,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
6,20,10,red-brown twiggy deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,11/06/2002,AFH,102,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
7,2,,dark organic deposit,Chemical,FALSE,,FALSE,TRUE,11/06/2002,AFH,95,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
8,2,,red-brown twiggy deposit,Chemical,FALSE,,FALSE,TRUE,11/06/2002,AFH,102,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
9,10,9,drain fill,Bulk,TRUE,R/C/F,TRUE,FALSE,12/06/2002,AFH,116,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
10,10,9,dark deposit,Bulk,TRUE,R/C/F,TRUE,FALSE,13/06/2002,AFH,125,S21.4,1770,1790,1770-1790,1750-1810,School Room
11,0,,dark deposit,Chemical,FALSE,,FALSE,TRUE,13/06/2002,AFH,125,S21.4,1770,1790,1770-1790,1750-1810,School Room
12,30,25,bone & charcoal rich fill,Bulk,TRUE,R/C/F,TRUE,FALSE,17/06/2002,AFH,143,S21.3,1750,1770,1750-1770,1750-1780,School Room
13,0,,units 206-216,Micromorph,FALSE,,FALSE,FALSE,10/10/2002,GG,152,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
14,10,11,ash layer,Bulk,TRUE,R/C/F,TRUE,FALSE,10/10/2002,GG,214,M.4,,,1500-1900,,Mound (Kyndluholl)
15,10,10,turf & ash layer,Bulk,TRUE,R/C/F,TRUE,FALSE,10/10/2002,GG,213,M.5,,,1500-1900,,Mound (Kyndluholl)
16,10,10,turf & ash layer,Bulk,TRUE,R/C/F,TRUE,FALSE,10/10/2002,GG,224,M.2,,,1500-1900,,Mound (Kyndluholl)
17,10,9,turf & charcoal,Bulk,TRUE,R/C/F,TRUE,FALSE,10/10/2002,GG,226,M.1,1500,1600,1500-1600,,Mound (Kyndluholl)
19,0,,units 224-228 NB: double sampl No,Micromorph,FALSE,,FALSE,FALSE,10/10/2002,GG,152,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
19,0,,Hammerscale/ Slag NB: double sampl No,Chemical,FALSE,,FALSE,FALSE,04/06/2003,GML,182,S32.1,1850,1890,1850-1890,1840-1900,Forge
20,0,,Taken in peatash layers at bottom of pit. Area 39,Chemical,FALSE,,TRUE,FALSE,05/06/2003,EH,174,T1.2,1984,1986,1984-1986,1960-1990,Guðmundur Ólafsson Excavation
21,10,10,Organig floor layer. Area 80.,Bulk,TRUE,R+C/F,TRUE,FALSE,05/06/2003,AFH,186,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
22,10,8,Organig floor layer. Area 80.,Bulk,TRUE,R+C/F,TRUE,FALSE,05/06/2003,AFH,183,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
23,10,8,Charcoale floor ? Dump ?. Area 80.,Bulk,TRUE,R+C/F,TRUE,FALSE,05/06/2003,AFH,187,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
24,0,,Small burnt bone,Chemical,FALSE,,FALSE,TRUE,06/06/2003,GML,191,S32.1,1850,1890,1850-1890,1840-1900,Forge
25,20,18,Floor from [190].,Bulk,TRUE,R+C/F,TRUE,FALSE,06/06/2003,SÞ,193,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
26,20,18,Floor from [190].,Bulk,TRUE,R+C/F,TRUE,FALSE,06/06/2003,SÞ,230,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
27,10,8,Fill from drain,Bulk,TRUE,R+C/F,TRUE,FALSE,11/06/2003,SÞ/AFH,278,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
28,10,8,Fill from drain,Bulk,TRUE,R+C/F,TRUE,FALSE,11/06/2003,SÞ/AFH,280,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
29,10,7,Fill from drain,Bulk,TRUE,R+C/F,TRUE,FALSE,12/06/2003,SÞ/AFH,279,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
30,20,18,Fill from drain in [055],Bulk,TRUE,R/C/F,TRUE,FALSE,12/06/2003,BL,268,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
31,10,6,Fill from drain.,Bulk,TRUE,R/C+F,TRUE,FALSE,12/06/2003,SÞ,284,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
32,0,,,Chemical,FALSE,,FALSE,FALSE,14/06/2003,OV,238,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
33,0,,Blue-grey clay stuff,Chemical,FALSE,,FALSE,FALSE,18/06/2003,BL,328,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
34,10,10,Floor [306],Bulk,TRUE,R+C/F,TRUE,FALSE,19/06/2003,OV,306,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
35,10,8,Floor easter end.,Bulk,FALSE,R+C/F,TRUE,TRUE,19/06/2003,OV,307,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
36,10,10,Floor wester end.,Bulk,TRUE,R+C/F,TRUE,FALSE,19/06/2003,OV,307,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
37,0,,"Turf, shit or hey ?",Chemical,FALSE,,FALSE,FALSE,26/06/2003,BL,350,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
38,0,16,Layer in lowest half of [438],Bulk,TRUE,R+C/F,TRUE,FALSE,26/06/2003,MS,439,S12.1,1690,1740,1690-1740,1690-1750,Living Quarters
