ID,Sherd group,Find No,Unit No,Group No,Refit/Same as,Vessel ID,Same as VID,Colour,Lead crystal,Textured surface,Vessel Function,Vessel Class,Vessel Type_new,Finish process,Rim type,Rim Code,string rim depth,Body process,Ghost seam,Base process,Base mark,Base embossing,Process,evrep,Count,Weight,eve (rim),eve (base),size (mm),height (mm),Vessel Diam,Applied decoration,Moulded decoration,Enamelled,Engraved,Cut,Etched,Burnt,Patination,Date,Notes,Illustration,Building Phases_Building Phase,Real Date,Start date,End date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved,,
1805,1925,5601,1146,,,203,,light green,FALSE,FALSE,Drinking,beaker,roemer,,,,,,FALSE,,,,,1/1,1,1,,,,,,teardrop prunt,,,,,,FALSE,FALSE,c. 1550-1650,"Berkemeier or roemer - prob late, though goes back to late 15th c.",FALSE,S0,1500-1650,1500,1650,,Earlier Remains,1142,1142,Floor,in situ,FALSE,,
3901,1241,3318,368,,,405,,colourless,FALSE,FALSE,Storage,Bottle,flat-sided,,,,,,FALSE,,,,,batch,1,0,,,,,,,,"blue, yellow & white",,,,FALSE,FALSE,18 c.,,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3941,1268,3023,672,,,407,,emerald,FALSE,FALSE,Storage,Bottle,flat-sided,,,,,,FALSE,,,,,batch,1,5,,,,,,,,,,,,FALSE,TRUE,17/18 c.,base,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4043,1040,2331,445,,,,,light green,FALSE,FALSE,Storage,Bottle,flat-sided,,,,,,FALSE,,,,,batch,3,3,,,,,,,,,,,,FALSE,TRUE,17/18 c.,base & body,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4042,1050,2389,393,,,,,light green,FALSE,FALSE,Storage,Bottle,flat-sided,,,,,,FALSE,,,,,batch,3,8,,,,,,,,,,,,FALSE,TRUE,17/18 c.,,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3882,1116,2784,571,,,,,blue,FALSE,FALSE,Storage,Bottle,flat-sided,,,,,,FALSE,,,,,batch,1,1,,,,,,,,,,,,FALSE,TRUE,,body,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4047,1267,3023,672,,,,,light green,FALSE,FALSE,Storage,Bottle,flat-sided,,,,,,FALSE,,,,,batch,4,1,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4018,1212,3282,445,,,,,green,FALSE,FALSE,Storage,Bottle,,,,,,,FALSE,,,,,batch,1,4,,,,,,,,,,,,FALSE,TRUE,,,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3894,4577,2569,481,,,,,blue,FALSE,FALSE,Storage,Bottle,,,,,,,FALSE,,,,,1/1,1,0.6,,,,,,,,,,,,FALSE,TRUE,,body,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3884,0,2569,481,,,402,,blue,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,,1,0.58,,,,,,,,,,,,FALSE,TRUE,,"Vessel, blue glass.",FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3938,0,3147,694,,,,,dark green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,,1,0.73,,,,,,,,,,,,FALSE,TRUE,,vessel,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4053,0,2569,481,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,,2,0.26,,,,,,,,,,,,FALSE,TRUE,,Vessel,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4054,0,2569,481,,,,,light green,FALSE,FALSE,storage?,bottle?,flat-sided,,,,,,FALSE,,,,,,1,0.41,,,,,,,,,,,,FALSE,TRUE,,Vessel,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3978,1074,2528,424,,,412,,green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,1/1,1,6,,20,,,,,,,,,,FALSE,FALSE,17/18 c.,80mm diam pedestal foot - from goblet or stemmed dish,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3979,1068,2504,500,,,,,green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,2,1,,,,,,,,,,,,FALSE,FALSE,,body - poss square flask,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
4078,1069,2504,500,,,,,light green,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,4,1,,,,,,,,,,,,FALSE,TRUE,,body; lamp or beaker/goblet,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
3918,1070,2504,500,,,,,colourless,FALSE,FALSE,drinking?,small vessel,small vessel,,,,,,FALSE,,,,,batch,1,0,,,,,,,,,,,,FALSE,TRUE,,spall,FALSE,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,,
