ID,"Site, year, findnr",FindsNo,Context,Area,Dating,Fragm,Type of context,Preservation condition,Comments,Colour,Geological type,Grain size,Origin,Analyzed by,Type,Part of whetstone,Whetstone size,Nr of grinding surfaces preserved,Description of broad side,Description of narrow side,Description of end peice 1,Description of end peice 2,Cross section,Edges,Use of surfaces,Grooves,Strap attachment,General use,Description,"Sooth, iron, precipitation",Usability,Geological comments and observation,Weight,Length (full),Width (full),Thickness (full),Length (frag),Width (frag),Thickness (frag),Building Phase,Start Date,End Date,Period_Date,Attribution
1,SKH02,622,1,,,1,,Good,New nr. 1,Very light grey,Sandstone,Very fine,Unknown,Sice,Raw material,Fragment/raw material,,3,,,,,,,,,None,,"Partially shaped block of raw material with cutting marks and grooves. Unfinished grinding slab/block? Uncertain geological type, could be sand or silt stone, but needs further geological determination. Very light grey/brow and finely grained.",,Usable,"Fragment of decoration/plack edge?Sandstone, pale redish brown, fine grained, possible lamination, quartz arenite?",73,,,,4.2,4.2,2.8,LH,1958,1958,1930-1960,Levelling Horizon
2,SKH02,622,1,,,1,,Baad,New nr. 27,Mid grey,Schist,Medium fine,Unknown,Sice,Whetstone,Whole but chipped,Small,2,Parallel,Parallel,Rounded with gradual transition to the side,Straight,Oval/parralel sides,Rounded,Smooth,None,None,Extensive,"A completely preserved excample of this whetstone type. Schist type of uncertatin origin, will need further geological determination. Very laminated and loose grain structure. Mid grey and medium coarse grain structure. Parallel sides, rounded edges and oval cross section. One end piece rounded the other straight. Two slightly convex grinding surfaces preserved.",None,Usable,"Frekjubrýni? SGB: Fine grained, bright starry lustre, granular quartz and biotite? Granular and badly fused, clearly foliated/laminated, sandy to the touch, crumbles easily, mottled black and transluscent white",54,7.6,3.6,1.1,,,,LH,1958,1958,1930-1960,Levelling Horizon
3,SKH02,622,1,,,1,,Stabile,New nr. 2,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,Centre piece only,Unknown,2,Irregular,Bone shaped/concave,,,Rectangular,Rounded/Sharp,Smooth,None,None,Moderate,Centre piece of a small to medium sized whetstone of the light grey Eidsborg schist type. Vawy but smooth surfaces and rather damaged edges and vague groves. Originally probably square sectioned and bar shaped whetstone.,None,Usable,,12,,1.6,0.8,5.3,,,LH,1958,1958,1930-1960,Levelling Horizon
4,SKH02,622,1,,,1,,Good,New nr. 4,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End and centre piece,Medium,2,Parallel,Parallel,Straight,,Rectangular,Rounded/Sharp,Smooth,U-shaped vague,None,Extensive,End and centre piece of a medium sized whetstone of the light grey Eidsborg schist type. Rather broad and thin in shape but otherwise a typical bar shaped whetstone. Smooth grinding surfaces with depressions on one of the broad sides due to wear. Paralles sides and straight end piece.,None,Usable,Dark inclusions,23,,2.6,0.5,8.2,,,LH,1958,1958,1930-1960,Levelling Horizon
5,SKH02,622,1,,,1,,Good,New nr. 6,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End piece only,Large,4,Parallel,Parallel,Straight but with hew marks,,Rectangular,Rounded,Rough/smooth,None,None,Moderate,End piece of a large bar shaped whetstone of the Eidsborg schist type. Parallel sides and straight end piece with hew marks. Four smooth grinding surfaces but some with rough areas. Rounded and damaged edges along the sides. Square cross section.,None,Usable,,99,,3,2.2,7.2,,,LH,1958,1958,1930-1960,Levelling Horizon
6,SKH02,622,1,,,1,,Good,New nr. 7,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone fragment,Fragment/used,Unknown,2,Indeterminable,Indeterminable,,,Unknown,,Smooth,None,None,Unknown,"Fragmented end piece of a light grey Eidsborg type whetstone, probably small or medium sized. Remains of two smooth grinding surfaces preserved.",None,Not usable,,9,,,,4.8,1.4,0.9,LH,1958,1958,1930-1960,Levelling Horizon
7,SKH02,622,1,,,1,,Good,New nr. 8,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End piece only,Medium,4,Parallel,Parallel,Slanting,,Rectangular,Rounded,Smooth,U-shaped vague,None,Moderate,End piece of a small or medium sized whetstone of the light grey Eidsborg schist type. Parallel sides and slanting end piece. Rounded edges and square cross section. Smooth grinding surfaces with some post depositional damages. Vague grinding mark along the top of the end piece.,None,Usable,,21,,1.8,0.9,7.1,,,LH,1958,1958,1930-1960,Levelling Horizon
8,SKH02,622,1,,,1,,Good,New nr. 9,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End piece only,Large,4,Parallel,Indeterminable,Rounded with gradual transition to the side,,Oval/parralel sides,Rounded,Smooth,Several types,None,Extensive,End piece of a medium to large sized whetstone of the light grey Eidsborg type. Rounded end piece and parallel sides with rounded edges. The grinding surfaces on the two broad sides are slightly convex where as the narrow sides are straight but with several grinding grooves along them and a few across the edges as well. Oval cross section.,None,Usable,,36,,3.3,1.3,5.1,,,LH,1958,1958,1930-1960,Levelling Horizon
9,SKH02,622,1,,,1,,Good,New nr. 10,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End piece only,Small,4,Parallel,Tapering,Rounded with gradual transition to the side,,Rectangular,Rounded/Sharp,Smooth,None,None,Unknown,"End piece of a small to medium sized whetstone of the light grey Eidsborg schist type. Parallel sides looking to the broad side, tapering when looking at the narrow side. Rounded end piece and both rounded and sharp edges along the sides.Square cross section and smooth grinding surfaces.",None,Not usable,,8,,1.8,0.8,3.5,,,LH,1958,1958,1930-1960,Levelling Horizon
10,SKH02,622,1,,,1,,Good,New nr. 11,Light grey,Schist,Fine,Eidsborg/Norway,Sice,Whetstone,End and centre piece,Medium,4,Parallel,Irregular,Irregular shape,,Rectangular/unevenly,Rounded/Sharp,Very irregular,Several types,None,Re-used after breakage,End and centre piece of a medium or large sized whetstone of the light grey Eidsborg schist type. Extensively used and very irregular in shape. Both smooth grinding surfaces and large areas of unused rough surface. Looks like the rough areas are damages after breakage and that it was reused after it broak. The end piece is very irregular in shape and has brinding groves across the top. Rectangular but uneven cross section.,Iron flecks,Very usable,,62,,2,1.8,10,,,LH,1958,1958,1930-1960,Levelling Horizon
