Finds No,Unit No,Count,Weight,Thickness,Colour,Bubbles,Original Edge,Fracture Edge,Ridge Lines,Shadow Lines,Quarry shape,Length,Width,Quarry size,Burnt,Patina,Decoration,scratch type,Scratchings,object,Completeness,Other Comments,Control reading,Translucency reading,Percentage translusency,Building Phases_Building Phase,Real Date,Start Date,End Date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved
970,200,1,0.71,2,light green,None,Beaded,Straight,,FALSE,straight-sided,,,,FALSE,slight,red painted glass.,,,painted pane,,"""Kyndluhóll. Finds from floatation"" written on bag (970) is a sample number.",,,,M.1,1500-1600,1500,1600,,Mound (Kyndluholl),200,163,Construction,in situ,FALSE
2389,393,2,8.2,2.5,light green,Frequent,Cut,Straight,curved,TRUE,triangle,51,,51mm,FALSE,slight,,,,pane,c,almost a  complete pane.,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
3258,700,2,1.16,1.8,light green,Occasional,Chipped,Straight,,TRUE,circular/oval,,,,FALSE,moderate,,,,pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
3289,673,1,0.61,2,dark green,None,Chipped,Straight,,FALSE,circular/oval,,,,FALSE,slight,,,,pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
3258,700,1,2.84,2.5,light green,None,Chipped,Straight,,FALSE,other,,,,FALSE,slight,"painted floral pattern on one side, piece is probably not complete, no apparent colouring.",,,painted pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
2504,500,4,3.3,1.2,light green,None,Chipped;Cut,Straight,,TRUE,square/rectangular,,,,FALSE,slight,,,,pane,,"possible signs of reuse, shadow line along the cut edge but not along the chipped edge.",,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
5605,1156,3,3.62,2,light green,None,Chipped,Straight,,FALSE,square/rectangular,,,,FALSE,moderate,,,,pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
2753,605,1,1.48,2.5,light green,Occasional,Chipped,Straight,,FALSE,square/rectangular,,,,FALSE,slight,,,,pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
3282,445,3,0.85,1,light green,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
2504,500,3,1.16,1.2,light green,None,Chipped,Straight,,FALSE,straight-sided,,,,FALSE,slight,,,,pane,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE
