ID1,ID,Dbase,Finds Number,Unit Number,Bark,Conversion/method,Wood species,Completeness,Discard,Photo/drawing,Length (mm),Width (mm),Thickness (mm),Diameter,profile,shape/sides,condition,burnt,Object,Object Group,Object category,Vessel type,vessel ID,Off-cut,Count,General Notes,Notes (continued),Field26,Building Phases_Building Phase,Real Date,Start Date,End Date,Period_Date,Attribution,No,GroupNo,Space,Unit type,Unit entropy,Sieved,
5253,1052,SF,13625,2821,No,,conifer,fragment,n,y,68,30,6,,,,,,assembly axe?,tool,administration,,,,1,"Looks like an axe. The 'axe-head' widens out from the shaft at ca 45° angle either side, cutting edge is straight, shaft is very clearly curved away from the head, but judging by the grains in he wood this might be later warping, top of the shaft is sharp",,JÞ,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2821,2800,2520,Floor,in situ,TRUE,
61,549,SF,1094,1,Yes,,unid,fragment,n,n,28,11,1.5,,,,,,bark,unworked,unworked,,,,2,"Two fragments of bark, unworked.",,JÞ,LH,1958,,1958,1930-1960,Levelling Horizon,1,752,752,Demolition,disorganized,FALSE,
2748,d,SF2,9798,2346,No,,conifer,fragment,n,n,,,,,,,,,bark,unworked,unworked,,,,2,2 bark flakes,,,S31.1,1650-1700,1650,1700,1660-1690,Bishops Former Living Quarters,2346,546,546,External area,in situ,FALSE,
2752,855,SF,9856,2463,Yes,,unid,fragment,n,n,42,10,1,,,,,,bark,box,vessel,bark box,,,1,"A piece of bark, one side is cut straight, but no further signs of working.",,JÞ,S8.1,1720-1750,1720,1750,1720-1750,Nursery,2463,2453,2344,Floor,in situ,FALSE,
2582,508,SF,7211,1638,Yes,,unid,fragment,n,n,50,26,2,,,,,,bark,unworked,unworked,,,,1,Seems to be a piece of bark.,,JÞ,C.2-3,1720-1850,1720,1850,1720-1870,Courtyard,1638,1257,1257,External area,disturbed,TRUE,
2047,,SF2,7054,1277,Yes,,bark,fragment,n,n,,,,,,,,,bark,unworked,unworked,,,,4,4 thin frags of poss bark?,,GML,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,1034,1117,751,Drain,in situ,FALSE,
281,,ST2,3326,368,yes,,betula,almost complete,n,n,,,,35,,circular,,,bark box,box,vessel,circular box,1,,3,"sides of a small birch bark box, circular, c35mm diam and 31mm high; includes larger ring and bark 'washer', latter presumably part of lid/base.",,GL,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,368,436,733,Floor,in situ,TRUE,
283,,ST2,3339,664,yes,,betula,fragment,y,n,,10,2,,,,,,bark strip,box,vessel,bark box,,,1,pos used as binding or simply waste; dried out,,GL,S20.2,1670-1700,1670,1700,1660-1720,School Dormitory,664,435,733,Floor,in situ,TRUE,
2517,507,SF,7139,1643,No,,unid,fragment,n,n,19,12,2,,,,,,bark strip,box,vessel,bark box,,,1,Seems like a curved piece of bark - could be from artefact.,,JÞ,S19.1,1730-1770,1730,1770,1720-1780,School Refectory,1643,690,690,Floor,in situ,FALSE,
2046,,SF2,7026,1495,Yes,,bark,fragment,n,n,,20,,,,,,,bark strip,box,vessel,bark box,2,off-cut,2,"2 fragments of squashed, rolled ?birch bark; prob waste/off-cut",,GML,S18.7,1770-1790,1770,1790,1750-1810,Pantry,1495,1335,1335,Floor,in situ,FALSE,
297,,,4268,662,Yes,,betula,fragment,n,n,,,,,,,,,bark strip,box,vessel,bark box,,,1,bark cut into thin strip c. 5mm wide and wound around into a ball; prob stock of bark strapping,,GML,S2.1,1902-1930,1902,1930,1900-1930,Haybarn,622,2,2,Construction,disturbed,FALSE,
5263,,SF2,15825,2714,No,,unid.,fragment,n,n,40,,1,,,,,,bark/veneer?,box,vessel,bark box,3,,1,v. Thin sheet - wood? Poss from askja?,,,S17.4,1710-1720,1710,1720,1690-1720,Meat Store,2714,2659,1680,Floor,in situ,FALSE,
296,,ST2,3552,418,No,,unid,fragment,n,n,,,1,80,,circular,,,base/lid,box,vessel,circular box,4,,1,"thin, poorly preserved lid or head of small vessel - stave or box; 80mm diam; prob single piece",,GL,S20.2,1670-1700,1670,1700,1660-1720,School Dormitory,418,435,733,Floor,in situ,TRUE,
5406,984,SF,16199,2912,No,,conifer,fragment,n,n,65,30,3,,,,,,base/lid,box,vessel,oval? box,,,1,"A piece of a thin board, one end is broken but the other curves in from one side, perhaps part of lid/base.",,JÞ,S17.2,1690-1700,1690,1700,1690-1720,Meat Store,2912,2892,1680,Floor,in situ,TRUE,
4923,,ST2,13329,2649,No,,conifer,complete,n,n,40,28,3,,,oval,,,base/lid,box,vessel,oval box,9,,1,oval lid/base of a small box/askja hand carved,,GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2649,2521,2520,Floor,in situ,FALSE,
1593,699,SF,6818,1527,No,,broadleaf,fragment,n,n,26,14,8,,,oval,,,base/lid,box,vessel,oval box,6,,1,"An oval piece, hollowed out? One end is cut flat, and the other is broken off. The hollow is 0,8 x 0,4 cm where it's largest. The base or lid of a small box c. 60x50mm",,JÞ,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,1527,1528,1200,Floor,in situ,TRUE,
1594,701,SF,6818,1527,No,,broadleaf,fragment,n,n,46,20,5,,,oval,,,base/lid,box,vessel,oval box,7,,1,"An elongated flat piece, with very rounded ends. One end is broken, and seems to have had a pin protruding from it(?) Base/lid of a small oval box 45x20mm",check,JÞ,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,1527,1528,1200,Floor,in situ,TRUE,
1595,702,SF,6818,1527,No,,broadleaf,fragment,n,n,43,14,8.5,,rectangular,hexagonal,,,base/lid,box,vessel,hexagonal box,8,,1,"Both ends are cut from two sides at 45° angle. One side has two small circular holes, 1 mm in diameter, probably for nails, or dowel pins. Half of a lid/base for small hexagonal shaped vessel?",,JÞ,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,1527,1528,1200,Floor,in situ,TRUE,
1730,798,SF,6827,1423,No,,conifer,fragment,n,n,31,21,7,,,hexagonal,,,base/lid,box,vessel,hexagonal box,5,,1,"A thin flat piece, cut against the grain, could be off-cut but the thickness is uniform and both sides are smooth. Prob hexagonal base/lid - or end - of small box",quarter of an octagonal head of stave vessel? Small vessel,JÞ,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,1423,1211,1200,Floor,in situ,TRUE,
350,,SF2,4349,998,No,,quercus,complete,n,n,57,35,5,,,oval,,,base/lid,box,vessel,oval box,10,,1,"oval shaped disc, prob base/lid of a small oval box - poss with bark sides",,,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,998,669,751,Floor,in situ,FALSE,
5434,1012,SF,16251,0,No,,conifer,complete,n,n,48,32,3,,,rectangular,,,base/lid,box,vessel,rectangular box,,,1,"No context no., ""ómerktur"". A small flat and thin board, rectangular with rounded corners, one surface very smooth, no features. Base/lid of small box.",check,JÞ,,,,,,,0,0,,,,FALSE,
2660,,SF2,9756,2185,No,,betula,almost complete,n,n,29,,8,,,,,,base/lid?,box,vessel,circular box,12,,1,"thick disc, no perf - split in half; poss gaming piece or base/lid of small box",,,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,2185,1211,1200,Floor,in situ,FALSE,
3566,354,SF,10127,2185,No,,conifer,fragment,n,n,28,15,7,,,,,,base/lid?,box,vessel,circular box,,,1,"Originally probably a thin circular piece, now split in two, could be a large number of things. Lid/base, gaming counter - hand carved",,JÞ,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,2185,1211,1200,Floor,in situ,FALSE,
298,260,SF,4304,954,No,,Fagus,fragment,n,y,103.5,92,15,,,,,,base/lid?,box,vessel?,oval box,11,,1,"Oval-shaped disc/block, broken in middle. Poss vessel base? Cut against the grain. Uneven on one surface, smoother on the other, possibly due to wear. No signs of nails or any fastenings. Roughly worked edges - poss re-worked?",,JÞ,S5.3,1760-1780,1760,1780,1750-1780,Bishops Dining Room,954,932,1200,Floor,in situ,FALSE,
4618,345,ST,13198,2727,No,,fagus,fragment,n,n,109,16,9,,,,,,batten,structural,post,,,,1,Fragment of small batten with two iron nails.,,EC/SÞ/GL,S23.2,1720,,1720,1690-1720,Bishops Living Quarters,2727,2863,2551,Demolition,in situ,FALSE,
55,a,ST2,1018,1,No,,conifer,fragment,y,n,95,44,22,,,,,charred,batten,structural,post,,,,1,"both ends broken, rect section",,GL,LH,1958,,1958,1930-1960,Levelling Horizon,1,752,752,Demolition,disorganized,FALSE,
143,h,ST2,2519,424,No,,conifer,fragment,n,n,92,28,21,,,,,,batten,structural,post,,,,1,"batten, one end broken, other squared/slightly tapered in; rect section; batten for furniture item",,GL,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,424,436,733,Floor,in situ,TRUE,
415,582,SF,4405,1011,No,,larix,fragment,n,n,34,20,4.5,,,,,,batten,structural,post,,,,1,"Fragment of a small batten/slat? Rectangular in shape, no tapering, end is cut flat, other end is broken off. Slat",,JÞ,S22.1,1670-1700,1670,1700,1660-1720,Assistant Teachers Quarters,1011,842,842,Floor,in situ,TRUE,
4877,c,ST2,13301,2750,No,,larix,fragment,n,n,,38,19,,,,,,batten,structural,post,,,,1,"adjoining splinters from a batten, with triangular cross section",,GL,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2750,2733,2520,Drain,in situ,TRUE,
4886,a,ST2,13307,2823,No,,conifer,fragment,n,n,77,10,6,,,,,,batten,structural,post,,,,1,"rect section, prob batten;  sq notch cut on one side, one end chamfered",,GL,S25.1,1670-1710,1670,1710,1660-1720,Boys Lodge (servants?),2823,2800,2520,Floor,in situ,TRUE,
4911,1043,SF,13324,2872,No,,broadleaf,fragment,n,n,45,37,13,,,,,,batten,structural,post,,,,1,"The end of a (list), the end is sharpened by cutting it from two sides at 45°angle. 3,2 cm form the top end there is a 0,8 cm hole bored through it.",,JÞ,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2872,2863,2551,Floor,in situ,TRUE,
5011,1028,SF,13388,2872,No,,conifer,complete,n,n,59,39,17.5,,,,,,batten,structural,post,,,off-cut,1,"A square piece, short piece of a small board or (list), edges on front side are rounded. Ends are cut, one is smoother than the other, may have been more carefully worked, but probably the builder just had better luck sawing one end than the other. In the",,JÞ,S23.1,1700-1720,1700,1720,1690-1720,Bishops Living Quarters,2872,2863,2551,Floor,in situ,TRUE,
5029,1050,SF,13396,2220,No,,conifer,fragment,n,n,56,13,9,,,,,,batten,structural,post,,,,1,"Batten terminal with tenon. One end is broken off, the other end is cur flat and rounded, 2 cm down in widens sharply our about 1 mm on each side, a small nail hole 1,7 cm down on the middle of the piece.",Tenon join end of a small bar for a small furniture item/box,JÞ,S18.4,1700-1740,1700,1740,1690-1750,Pantry,2220,2067,1884,Floor,in situ,TRUE,
5118,b,ST2,13453,2675,No,,conifer,fragment,n,n,44,16,10,,,,,,batten,structural,post,,,,1,"rect sect, one end broken, other squared",,GL,S25.2,1710-1720,1710,1720,1690-1720,Boys Lodge (servants?),2675,2521,2520,Floor,in situ,FALSE,
2078,1986,ST,7061,1506,No,tangential,conifer,fragment,n,n,98,23,21,,,,,,batten,structural,post,,,,1,The other end is broken. Four sides worked. Batten with tapered end,,EC/SÞ/GL,S19.1,1730-1770,1730,1770,1720-1780,School Refectory,1506,1484,690,Floor,in situ,TRUE,
1806,115,SF,6841,1424,No,,Fagus,fragment,n,y,70,13,9,,,,,,batten,structural,post,,,,1,"Piece of furnture? Smooth, square piece with a narrow slot on one side.",,LP,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,1424,1211,1200,Floor,in situ,TRUE,
1813,54,SF,6842,1424,No,,picea/pinus,fragment,n,y,80,27,12,,,,,,batten,structural,post,,,,1,"Decoration on two narrow sides, including X marks.  A hole for a nail or fastening. Prob batten for a box or small furniture item.",,LP,S5.2,1740-1760,1740,1760,1720-1780,Bishops Dining Room,1424,1211,1200,Floor,in situ,TRUE,
502,b,ST2,4432,830,No,,conifer,fragment,n,n,32,15,7,,,,,,batten,structural,post,,,,1,"end of small batten, rect sec",,GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,830,793,751,Drain,in situ,TRUE,
506,a,ST2,4433,809,No,,conifer,fragment,y,n,34,35,13,,,,,,batten,structural,post,,,off-cut,1,off-cut from a batten,,GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,809,784,751,Drain,in situ,TRUE,
515,b,ST2,4437,787,No,,conifer,fragment,n,n,,15,12,,,,,,batten,structural,post,,,,1,"curved batten (warped?) with small groove cut on one face, broken both ends",,GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,787,784,751,Drain,in situ,TRUE,
531,a,ST2,4444,789,No,,conifer,complete,n,n,120,28,11,,,,,,batten,structural,post,,,,1,tapered toward one end with 2 lines scored on one face,,GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,789,793,751,Drain,in situ,TRUE,
563,a,ST2,4464,868,No,radial,conifer,fragment,n,n,45,30,17,,,,,,batten,structural,post,,,off-cut,1,"cur obliquely one end, other squared; prob off-cut",,GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,868,784,751,Drain,in situ,FALSE,
564,b,ST2,4464,868,No,tangential,quercus,fragment,n,n,27,49,22,,,,,,batten,structural,post,,,off-cut,1,prob off-cut from a longer batten; end squared,,GL,S13.2,1750-1800,1750,1800,1750-1810,Main Corridor,868,784,751,Drain,in situ,FALSE,
2613,b,ST2,7227,1666,No,,conifer,complete,n,n,50,33,18,,,,,,batten,structural,post,,,off-cut,1,"short block, rect sect - prob offcut from a batten",,GL,S18.6,1760-1770,1760,1770,1750-1780,Pantry,1666,1656,1335,Floor,in situ,TRUE,
24,529,SF,893,83,No,,Larix,fragment,n,n,41,41,14.5,,,,,,batten,structural,post,,,,1,"Batten terminal, whittled down to a narrower shaft, but broken at shaft junction. A nail hole lies in the middle of the terminal. Possibly a furniture rail or spindle","broken - end moulded batten; one side cut obliquely (off-cut?), other snapped",JÞ,S5.5,1800-1830,1800,1830,1780-1840,Pantry/Study & Library,83,912,329,Floor,in situ,FALSE,
620,2456,ST,4492,662,No,,quercus,fragment,n,y,221,25,15,,,,,,batten,structural,post,,,,1,"All sides worked. One end cut, other end broken. A circular perforation at the upper part going through. Handle of some type of spade or similar?",,EC/SÞ/GL,S15.3,1800-1850,1800,1850,1780-1810,Wheystore,662,583,583,Roof,disorganized,FALSE,
