year,svg,description
1670,1670.svg,"Our understanding of the site in the last quarter of the 17th century is variable – many parts, especially of the Bishops rooms were only partially investigated. The plan shows the site c. 1670, just before Bishop Brynjúlfur Sveinsson left and Þorður Þorðarsson took over. It is a site of three separate blocks: a north-western complex comprising the Bishop’s residence; a north-eastern block which is the school and a southern section which included service rooms and the school dining room. At this time, there was no direct access between the school and the Bishop’s residence – any communication involved walking outside and around; the same seems to apply to the service wing although the absence of a connecting corridor here is more speculative, albeit supported by both archaeological and documentary evidence. The only unusual element is the corridor of the north-eastern block or school. Both the Bishop’s block and service block have central axial corridors with rooms or buildings coming off each side; the corridor on the school lies at the western edge and looks distinctly odd, although there is a small corridor bisecting the schoolmasters rooms from the school, which fed into the underground passage to the Church. The side corridor XIII is then almost certainly an after-thought and its only purpose seems to have been to provide sheltered connection between the wheystore and the school. It seems to have existed in some form at least as far back as 1589. In summary then, 17th century Skálholt appears to have consisted of three separate blocks which probably indicates a more dispersed set of buildings existed here in earlier times."
1680,1670.svg,The site remains as it was in 1670.
1690,1690.svg,"By 1690, the southern (service) and north-eastern (school) blocks had been joined by the extension of the corridor XIII, leaving the Bishops wing the only section still separate; by this time however, a new pair of rooms had been built in the space between the Bishops block and the western side of the service block. Structures XI and XII seem to have been built for the priest and his household, creating yet another, fourth block, which was also separate – but shared the courtyard with the Bishops residence. Contemporary with this was a modification to the pantry (XVIII), whose wall lines were shifted south – no doubt to accommodate the new Priests building.  A door on the north side of the pantry appears to have led outside, behind Structures XI and XII and probably was built so access to the pantry from the western side of the settlement was made easier, now the corridor was continuous. All of these changes probably happened under Bishop Þorður as archaeological material suggests a date of c. 1690. Otherwise, the rest of the settlement remains more or less as it was in 1670, apart from the usual repairs and maintenance activities, mostly evident in new floors."
1700,1700.svg,"A new kitchen (Structure X) was built c. 1700 to the west of the Priest’s rooms XI & XII), whose western entrance is now blocked off and a new northern doorway placed instead. In addition, a passageway connecting the male servants quarters and the Bishop’s dining room was also built. The oldest excavated traces of the Bishop’s living quarters date to this period."
1710,1700.svg,The site remains as it was in 1700.
1720,1720.svg,"A major change happens c. 1720; it is impossible to pinpoint when exactly, possibly a bit earlier but no later 1722 when the next inventory is taken as Jón Árnason takes over as Bishop. Given the quite substantial re-building of the Bishop’s block, this may have happened precisely over this period between 1720 and 1722 as there is nearly a two-year gap between the death of Jón Vidalín and the appointment of his successor. In this time, the old Bishop’s Residence seems to have been completely levelled and infilled and a new building constructed. It more or less followed the same design – a central axial corridor with side rooms, the Bishops quarters at the front (i.e. southern) end and servants and storage rooms at the back. However, for the first time we also see an access made between this wing and the others as the Bishops Dining room now has a connecting passage to the main axial corridor XIII. Now, all three main blocks are internally connected, the only isolated building now being the Priests Building (XII & XII). In addition, a nursery (VIII), which previously had been situated within the Bishop’s wing, was constructed behind the Priests house. Both the kitchen and the nursery were built by Jón Vídalín, probably sometime in the first decade of the 18th century. All other buildings on the site remain more or less as before."
1730,1730.svg,The site remains as it was in 1720 although the oldest excavated traces of the refectory date to this time.
1740,1740.svg,"In the 1740s, the priest had moved into the former male servants’ quarters, along with the bailiff and a little but later (in the 1760s), an access was opened into the main corridor from these rooms. At the same time, the former Priests house (XI & XII) was pulled down and a new building (IX) constructed over it; it is unclear what this was used for but possibly for the displaced male servants. Sadly, little of this new structure survived archaeologically, but these changes can also be dated to the early 1740s."
1750,1750.svg,"By the middle of the 18th century, the school, now probably more than a century old, has also been re-built but on the same footprint as before; both teachers’ rooms have however been pulled down and their quarters re-located into the loft above the classroom. From the inventories, we know the school was being rebuilt in 1747 so these changes coincide with the appointment of Bishop Ólafur Gíslason, though they may have been instigated earlier by Harboe who was acting Bishop in the five-year gap after the death of Jón Árnason.  Around the same time, the east side of the kitchen (X) was remodelled. It is for this period that we also have the first contemporary visual depiction of Skálholt, the map now preserved in the National Library. Although undated, our archaeological work and the information from the inventories has enabled us to date it to c. 1745/6, just prior to the re-building of the school but after the new building over the Priests house. Given this dating, the map may have been commissioned by Harboe, though if that were the case, one might have expected the annotation to be in Danish rather than Icelandic. The plan is useful as it indicates – assuming it can be trusted as a fair representation – the presence of chimneys, doors and windows, and with the latter, a distinction between glass windows (crossed squares) and those with stretched intestinal lining (circular). On the whole, the archaeological plan matches this depiction rather well, with the exception of the bailiff’s room at the back of the Bishops residence. On the drawing, it is depicted as a separate structure and staggered from the dining room, whereas archaeologically there seems no doubt the two rooms are part of the same, continuous structure. If the two rooms were not connected by a door and if this drawing is done partly from memory or the internal arrangement, that might explain the anomaly on the drawing."
1760,1760.svg,The site remains as it was in 1750 except for a passage joining the Bishop’s dining room (V) with the new building (IX).
