ID1,Context,ID,Site code,Brief description,ID No,Material,Length mm,min Width mm,max Width mm,Diameter mm,Thickness mm,Field11,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
1,95,1,SKH02,Ring,910,Horn,,,,36,8,,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
2,93,2,SKH02,"piece with holes along one edge (quite similar to a shoe component) and all edges cut, mid brown in colour",912,Felt,74,,26,,2,,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
3,93,3,SKH02,"tapering piece with 3 cut sides the other torn, mid brown in colour",912,Felt,78,,29,,3,,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
4,93,4,SKH02,"L-shaped piece, now 29mm wide, from which an angular piece has been cut",912,Felt,100,,89,,5,,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
5,103,5,SKH02,"fuiting body of a fungus, very shiny and thin",918,Fungus,,,,,,,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
6,145,6,SKH03,"semi-circular piece with curved cut edges, rest torn away, mid brown in colour",1022,Felt,100,,40,,3,?offcut from a collar,S4.2,1760,1780,1760-1780,1750-1780,Lodge/Dining Room & Chambers
7,238,7,SKH03,"5 pieces of felt including a rectangular piece with stitching, a circular offcut probably from a collar and a small triangular piece",1509,Felt,,,,,,offcut from a collar,S4.4,1800,1840,1800-1840,1780-1840,Pantry/Kitchen
8,253,8,SKH03,"2 pieces of strip with an obliquely cut end and a rounded terminal pierced by a central hole 3mm diam appears to be laminated horn, Largest piece measured",1362,Horn?,35.5,,9,,1.5,,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
9,283,9,SKH03,5 pieces probably joining from a trimming (longest measured) dark brown in colour,1491,Felt,62,,10,,2,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
10,377,10,SKH03,,2372,Wood,,,,,,spectacles?,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
11,391,11,SKH03,4 delaminating pieces from a washer or a thick flat ring 8mm wide with a central hole 18mm in diam. From horn spectacles?,2508,Horn,32,,8,,2,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
12,483,12,SKH03,"wide trimming with a rounded end, other torn, mid brown in colour",2558,Felt,116,,14,,2,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
13,483,13,SKH03,"trimming with curved end, mid brown in colour",2558,Felt,30,,8,,4,,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
14,548,14,SKH03,"scrap all edges broken, light brown colour",2596,Felt,58,,26,,2,,S4.3,1780,1800,1780-1800,1780-1810,Lodge/Dining Room & Chambers
