ID,ID -Find Number,Degree of completeness,Box Number,SKH context/unit nr,SKH find nr,SKH sample nr,Find year SKH,Same as-,Number of fragments,Part of clay pipe,Original mouth piece,Length of stem (mm),Diameter of stem (mm),Stem shape,Functionally complete stem -length,Shape of bowl/typologie,Hight of bowl,Outter diameter of bowl,Colour of clay,Surface treatment,Production marks,Usage,Diagonal carving,Description re-use/use after break,Post-depostional marks,Heel,Kind of Mark,Location of mark,Mark description,Mark on side of heel,Side mark description,Origin,Region/city,Manufactur,Decoration,Decoration technique,Location of decoration,Description of decoration,Quality,Description quality,Dating,Dating Duco,Dating Meulen,Comments,Drawing/Fotography,Referrence,Building Phases_Building Phase,Real Date,Start Date,End date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved,
489,489,Stem fragment,1,445,2329,,2003,,1,Stem,FALSE,13,0.0,,,,,,White,Smoothed,,Smoking strains-clear,FALSE,,,,,,,,,,,,,,,,,Fragment too small,,,,Only flake of stem,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1259,1259,Complete bowl,1,393,2384,,2003,,1,Base;Body;Bowl;Heel;Rim;Stem,FALSE,8,9.5,Oval,,,"2,5","1,5",,Glazed,Mould lines;Scars/Knife marks,Smoking strains-clear,FALSE,,,Spur,,,None,,None,,,,Rouletted line,Roll-on stamp,Bowl,1 line only on back of bowl -facing smoker; brown glaze,Middle,Brown glaze with darker spots; on surface clearly visible at least one deep scar/dent and mould line in front of bowl; decoration only facing smoker; rather regular overall shape,???,,,Brown glaze inside and out of bowl but not in bore,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1260,1260,Stem fragment,1,393,2384,,2003,,1,Stem,FALSE,27,9.0,Slightly oval,,,,,White,Untreated,Clay remains;Scars/Knife marks,Smoking strains-clear;Soot inside,FALSE,,Iron coding,,,,,,,,,,,,,,Poor,"White colour with brown spots; surface partly smooth -partly untreated (large clay remains, scars, holes/air bubbles and dents; slightly oval stem diameter",,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1261,1261,Stem fragment,1,393,2384,,2003,,1,Heel;Shank,FALSE,19,11.5,Oval,,,,,White,Smoothed,Mould lines,Re-use;Smoking strains-clear;Soot inside,TRUE,Diagonal carving towards bore,Iron coding,Flat foot,,,None,,None,,,,,,,,,Fragment too small,,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1262,1262,Stem fragment,1,393,2384,,2003,,1,Stem,FALSE,0,0.0,,,,,,White outside-black inside,Smoothed,,Soot inside,FALSE,,,,,,,,,,,,,,,,,Fragment too small,,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1167,1167,Stem fragment,1,571,2785,,2003,,1,Stem,FALSE,37,7.5,Slightly oval,,,,,White/grey turning to black,Smoothed,,,FALSE,,Iron coding,,,,,,,,,,,,,,Poor,White colour on one end -blackish grey on other with greenish spots; surface smoothed with some air bubbles; slightly oval stem diameter,,,,Colours due to firing error? White part seems softer/more porous fired then harder fired greyish part!?,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1168,1168,Stem fragment,1,571,2785,,2003,,1,Stem,FALSE,23,8.5,Slightly oval,,,,,Grey,Smoothed,,Smoking strains-clear,FALSE,,Iron coding,,,,,,,,,,,,,,,Fragment too small,,,,Soft/porous fired clay,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1169,1169,Stem fragment,1,571,2785,,2003,,1,Stem,FALSE,12,7.5,Circular,,,,,White,Polished,,Smoking strains-clear,FALSE,,,,,,,,,,,,,,,,,Fragment too small,,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1170,1170,Bowl fragment,1,571,2785,,2003,,3,Base;Body;Bowl;Heel,FALSE,0,0.0,,,,,,White outside-black inside,Smoothed,Fluff imprints,Soot inside,FALSE,,Chipping,Spur,,,None,,,,,,,,,,,Fragments too small,,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
1171,1171,Bowl fragment,1,571,2785,,2003,,1,Body;Bowl,FALSE,0,0.0,,,,,,White,Smoothed,,Smoking strains-clear;Soot inside,FALSE,,,,,,,,,,,,,,,,,Fragment too small,,,,,,,S20.1,1650-1670,1650,1670,1630-1690,School Dormitory,436,733,Floor,in situ,TRUE,
