Finds No,Unit No,Object,Completeness,Condition,Conservation?,Length (rivet/nail; mm),Diam (head_top; mm),Diam (head_base),Length (rove/strap; mm),width (rove/strap; mm),rove shape,head type,shaft type,length (between heads/staple ends; mm),Draw/Photo,Shaft diam (mm),Weight (g),Notes,Neat rivet hole,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
3682,1109,nail,complete,moderate verdigris,TRUE,47,18,,,,,flat (square),forged,,FALSE,5,6.17,Square sectioned shaft,FALSE,S21.1,1650,1690,1650-1690,1630-1690,School Room
8713,1309,nail,near complete,light verdigris,TRUE,,9,,,,,domed,rolled,,FALSE,,0.49,domed hexagonal head; shaft absent,FALSE,MC.2,1700,1750,1700-1750,1690-1750,Midden Zone C
18136,1309,nail,complete,moderate verdigris,FALSE,17,5,,,,,flat (irreg),rolled,,FALSE,2,1.08,nail is bent,FALSE,MC.2,1700,1750,1700-1750,1690-1750,Midden Zone C
7263,1319,nail,complete,moderate verdigris,TRUE,26,12,,,,,domed,rolled,,FALSE,3,3.08,,FALSE,S31.1,1650,1700,1650-1700,1660-1690,Bishops Former Living Quarters
7267,1323,nail,complete,light verdigris,TRUE,26,6,,,,,flat (irreg),rolled,,FALSE,3,1.06,,FALSE,S31.1,1650,1700,1650-1700,1660-1690,Bishops Former Living Quarters
7290,1359,nail,complete,light verdigris,TRUE,16,8,,,,,flat (hex),rolled,,FALSE,3,1.18,,FALSE,S6.1,1720,1760,1720-1760,1720-1780,Bishops Living Quarters
7298,1362,nail,complete,light verdigris,TRUE,24,4,,,,,flat (irreg),rolled,,FALSE,3,0.62,made by rolling a sheet of copper,FALSE,S18.8,1790,1830,1790-1830,1780-1840,Midden
7352,1478,nail,near complete,moderate verdigris,TRUE,30,,,,,,,rolled,,FALSE,4,2.76,rolled sheet but however square sectioned. Head absent. Bent and looks like a hook,FALSE,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
7355,1479,nail,fragment,light verdigris,TRUE,7,,,,,,,forged,,FALSE,3,0.32,shaft fragment; square sectioned,FALSE,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
7356,1490,nail,complete,light verdigris,TRUE,15,8,,,,,flat (irreg),rolled,,FALSE,3,0.83,head leans to one side; shaft not made by rolling of sheet,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
18139,1490,nail,fragment,moderate verdigris,FALSE,6,4,,,,,flat (irreg),rolled,,FALSE,1,0.19,part of shaft absent,FALSE,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
7363,1505,nail,complete,light verdigris,TRUE,18,6,,,,,flat (irreg),rolled,,FALSE,2,0.59,,FALSE,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
