ID2,ID1,Finds No,ID,Unit No,Object,Category,material,Corrosion,Completeness,Size (mm),Fragment,Weight (g),Notes,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
1,5,386,,68,bar,Bar,iron,heavy,fragment,85x12x9,1,22.4,rect tapered bar - tang/shank?,S5.5,1800,1830,1800-1830,1780-1840,Pantry/Study & Library
2,4,3128,k,623,bar,Bar,iron,heavy,fragment,61z23x16,1,184.3,solid rect bar - ingot?,S10.4,1800,1880,1800-1880,1780-1900,Kitchen
3,2,8568,b,1321,bar,Bar,iron,heavy,fragment,75x12x11,1,20.7,broken both ends and longitudinally - but poss tapered,S18.8,1790,1830,1790-1830,1780-1840,Midden
4,3,11949,b,2185,bar,Bar,iron,heavy,fragment,121x11x11,1,78.6,"sq section bar, both ends broken; ingot?",S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
5,1,15002,128,2704,bar,Bar,iron,light corrosion,fragment,52x3,1,4.65,one end folds together at the tip; part of something bigger,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
6,7,423,b,95,hook fastener,Dress,iron,heavy,complete,32L,1,7.8,"heavy concretion, poss wood adhered to one end; wire made - typical form",S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
7,8,445,b,137,crampon/hasp?,Dress,iron,heavy,near complete,94x38,1,29.3,oval ring with 2 projecting arms with down-turned spikes - one arm broken,S29.3,,1900,1900,1900,Outhouse
8,10,2143,hh,164,heel iron,Dress,iron,heavy,complete,75x73,1,28.9,narrow U-shaped iron band (9x5) with 1 nail in situ; human 'horseshoe' for fixing on heel or toe of a boot,MA.2,1910,1930,1910-1930,1900-1930,Midden Zone A
9,9,1161,b,183,crampon?,Dress,iron,heavy,complete,88x52,1,62.1,4-armed X-shaped crampon with central eye; could also be a structural X-tie,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
10,11,1275,,247,mount,Dress,iron,moderate,fragment,8x5,1,13.5,branching -cast iron decorative mount/strapwork for furniture,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
