ID,Site code,Context,ID No,Components present/brief description,Material,Name,Species ID,Length mm,min Width mm,max Width mm,Diameter mm,Thickness mm,Secondary cuts,other materials present,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
260,SKH07,2779,15893,"delaminated seat area irregularly cut away from rest of the component with line of small grain/flesh stitching, SL 4mm around the edge and large oval peg holes in the centre to attach a separate heel piece. Also small triangular piece from stacked heel or middle packing",Leather,"Shoe bottom, welted","cattle hide, delaminated",68,,58,,,no,,C.1,1670,1720,1670-1720,1660-1720,Courtyard
180,SKH06,2563,15908,"One side surviving of leaft with plain border 12mm wide with at least 6 nail holes present to attach to wooden board, area 163mm long with lines of holes for the wire hooks spaced 2mm apart in rows 2mm apart. Leather mid brown in colour",Leather,Carding comb leaf,possibly sheep/goat,193,,48,,1,,,C.2,1720,1830,1720-1830,1720-1840,Courtyard
184,SKH06,2585,18147,"top edge of a long low heel stiffener or other shoe lining with a whip stitched top edge, cut away from the rest of the lining above the lasting margin.",Leather,"Shoe, upper lining",bovine,144,,24,,2,yes,,C.2,1720,1830,1720-1830,1720-1840,Courtyard
185,SKH06,2612,15928,stacked leather heel top piece and 7 lifts with large wooden oval sectioned peg holes. Adolescent/small adult size Ht 32mm,Leather,Shoe heel,,52,,60,,,no,,C.2,1720,1830,1720-1830,1720-1840,Courtyard
186,SKH06,2612,15929,"stacked leather heel with 14 lifts and jumps held together by larg wooden pegs, no top piece present. Adolescent/small adult size Ht 30+mm",Leather,Shoe heel,,52,,64,,,no,wooden pegs,C.2,1720,1830,1720-1830,1720-1840,Courtyard
143,SKH06,2164,9715,fragment of compacted leather likely to be broken from shoe bottom component,Leather,Shoe bottom fragment,degraded grain surface missing,45,,45,,2,no,,C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
144,SKH06,2176,9701,"slightly tapering plain strap broken at each end, poor condition very degraded",Leather,Strap,degraded probably bovine,118,11,15,,2,no,,C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
139,SKH06,1915,9712,"edge broken from thread area of a shoe bottom comprising sole and welt Sole and welt with line of brass riveted c 10mm apart  along the outer edge and round holes 6mm apart with wooden pegs along the inner. Appears to be a wooden pegged sole with a clump repair added with brass nails, the brass nails pass through the wooden pegs in places",Leather,"Shoe bottom fragment, pegged",cattle hide,93,,17,,2,no,,MC.1,1650,1700,1650-1700,1630-1720,Midden Zone C
162,SKH06,2342,9802,"lift from D-shaped stacked leather heel with large peg holes,worn and broken along one edge, adult size",Leather,Shoe heel,bovine,55,,61,,2,,,MR.1,1700,1900,1700-1900,,Main Road
93,SKH04,1147,4273,"Back part of two-part quarters with lasting margin SL 8mm and small area of butted edge/flesh back seam SL 6mm. Right side of heel stiffener present incorporated into the lasting margin and whip stitched to quarters.  Surviving height 53mm quarters cattle hide 2.5mm, heel stiffener bovine 1.5mm",Leather,Shoe upper,bovine,,,,,,no,,S0,1500,1650,1500-1650,,Earlier Remains
