ID1,ID,Finds Number,Unit Number,Material,material group,species,Object,Size,Completeness,Number of fragments,Weight (g),Condition,Notes,GroupNo,Space,Building Phase,Unit type,Sieved,Start Date,End Date,Attribution,Period_30,Duration,calibration per 30 years
71,99,21,1,bisque porcelain,Ceramic,,?figurine,,fragment,3,4.2,good,vessel or figurine,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
75,104,21,1,bisque porcelain,Ceramic,,doll's head,,fragment,4,9.3,good,"painted pink skin and brown eyebrows and lashes on white body;  possibly more than one head here; 3 pieces marked: a) 37 …. AM: Armand Marseille, model no. 370 (prob); head and shoulder; 1894+; b) [Made in ]Ger[many] R 10/….:  almost certainly Arman Marse",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
83,106,21,1,glazed porcelain,Ceramic,,doll's head,,fragment,4,8.1,good,Painted porcelain head - black hair and pink skin; most paint has come off; china doll - 1840-1880?,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
80,98,21,1,bisque porcelain,Ceramic,,figurine?,35mm,fragment,1,4.8,good,head of wild boar?,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
133,110,692,1,celluloid,Plastic,,pick comb,"40mm deep, 30mm long",fragment,1,0.7,good,tortoiseshell hair comb with scalloped back; camphor smell. 2mm spacing between teeth; c. 1880-1920,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
134,109,692,1,celluloid,Plastic,,single side comb,"35mm deep, 45mm long",fragment,1,3.9,gooc,"ivory coloutred, large comb; camphor smell of celluloid; c. 1880-1920; fine (<0.5mm) spacing between teeth",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
138,107,692,1,plastic,Plastic,,single side comb,61mm,fragment,1,36,good,dark green; roughly moulded; early 20 c; probably catalin; 1mm teeth spacing,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
139,108,692,1,plastic,Plastic,,single sided comb,"48mm long, 22mm high",fragment,1,1.7,good but teeth fragile,ivory coloured comb with differential spaced teeth - wide (c.1mm) and fine (<0.5mm); early 20 c; catalin or bakelite,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
76,105,1014,1,bisque porcelain,Ceramic,,doll's head,,fragment,1,1.56,good,"fragment with eyebrow; same type as no.104 . Armand Marseille, larger doll head.",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
2,c,1018,1,bone,Bone,,splinter,,fragment,3,,,misc bone frags,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
4,,1064,1,bone,Bone,whale,gaming counter,37mm thick,complete,1,,,disc with concentric grooves; hand carved; poor condition but complete.,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
88,6,1102,1,pottery,Ceramic,,counter,"10mm diam, 3mm thick",complete,1,0.52,good - spalled on one side,re-worked from whiteware plate or saucer with blue floral  decoration (tissue print?); circular disc; 19 c,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
95,1,3480,1,glass,Glass,,ring setting,3mm diam,complete,1,0.04,very good,"tiny setting , possibly for finger ring; round brilliant cut shape - uneven facets/somehwat irregular; colourless",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
87,119,7486,1,pottery,Ceramic,,counter,"12mm diam, 6mm thick",near complete,1,0.34,good but spalled - split longitudinally so not original thickness,re-worked from undecorated creamware,752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
79,91,7488,1,bisque porcelain,Ceramic,,figurine,80mm long,near complete,1,76,very good,"unglazed, white porcelain bull dog; feet cut off; prob 20 c.; no ID marks",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
86,76,8732,1,porcelain in copper alloy frame,Ceramic,,snuff box lid,"29 x 24mm, 1.2mm thick",complete,1,3.54,"good, but copper with verdigris","portrait of a lady in red dress on brown background; early 19c? Impressed back stamp on porcelain: U; hinge on left side, hooked clasp on right; found  just south of room 39 under topsoil",752,752,LH,Demolition,FALSE,1958,1958,Levelling Horizon,1930-1960,1,30
