ID,Find,Context,Quant,Weight (gr),Object Type,Material,Stone Type,Notes,Descriptions,Length (mm),Width (mm),Thickness (mm),Diameter (mm),Origin,Building Phase,Real Date,Period_Date,Attribution
1,15,27,1,1.53,Manuport,Sedimentary Rock,Chemical sediement?,SKH02,"Chemical sediement, laminar, thin whitish yellow and brown layers, soft white top at one end, yields to fingernail, possibly kaolinite or calcite, mixed with sulfur? Strange smell, fragments fit together",33,10-14,4-9,,Icelandic,S33.1,1880-1952,1870-1960,Stables
2,200,84,1,2,Manuport,Mineral,Quartz,,"Whitish gray, transluscent, pitted surface of amygdale, most likely formed in vesicle in volcanic rock, does not yield to knife, scratches glass",29,4-15,4-6,,Icelandic,S5.4,1780-1800,1780-1810,Pantry/Study & Library
3,622,1,1,21,Roof Tile,Metamorphic Rock,Slate,In bag with 26 whetstones,"Very dark gray, large thick flake, clearly laminar/flaky, edges rough and dull, fine grained",62,36,5,,Foreign,LH,1958,1930-1960,Levelling Horizon
4,694,1,1,90.69,Vessel,Metamorphic Rock,Steatite,,"Burned bottom (black), bottom fragment of vessel, kléberg, original vessel diameter about 150 mm",86,55,10,150,Foreign,LH,1958,1930-1960,Levelling Horizon
5,695,27,1,1.79,Manuport,Mineral,Zeolite,,"Most likely stilbite, sheaf-like crystal, milky white, glassy lustre at the edge of the sheaf, broad side of sheaf a pearly lustre (skelplötugljái)",20,17,3,,Icelandic,S33.1,1880-1952,1870-1960,Stables
6,697,52,1,2.44,Fuel,Sedimentary Rock,Coal,,"Black, glassy lustre, layered, steinbrandur",34,13,6,,Icelandic,S29.3,1900,1900,Outhouse
7,698,83,2,2.04,Flake,Mineral,Limonite + Iron cemented soil,Most likely precipitation in iron rich soil,"Redish brown, weak metallic lustre, amorphous, discard",15-22,10-14,3-6,,Icelandic,S5.5,1800-1830,1780-1840,Pantry/Study & Library
8,705,1,1,0.97,Roof Tile,Metamorphic Rock,Black Slate,From the modern church?,"Slate fragment, black, sharp edges",30,17,1,,Foreign,LH,1958,1930-1960,Levelling Horizon
9,706,149,1,0.93,Roof Tile,Metamorphic Rock,Black Slate,,"Slate fragment, black, sharp edges",17,15,1,,Foreign,S21.3,1750-1770,1750-1780,School Room
10,707,1,1,261,Ashlar stone,Sedimentary Rock,Geyserite,,"Whitish to redish gray, fibrous and crusty, subangular, tiny voids abundant, low density, possible plant impressions and air tunnels, does not yield to fingernail, most likely silica partially mixed with iron, brickfragment",113,88,45,,Icelandic,LH,1958,1930-1960,Levelling Horizon
