Field1,Inv No,FindNo,Alternate No,Fibre type,No of Fragments,Measurements in mm unless otherwise stated,Diameter of threads in mm (Warp/Weft),spin (Warp),spin (Weft),Thread count             per cm Warp,Thread count             per cm Weft,Weave,Type,Fulling,Fluffy Weft,Quality of Weave,Relationships/sample/ next steps,Color and Comments,Textile Analysis Reports,Source Document,Page No,Present GAG,<Older find or group no?>,Unit,Context No,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
1,SKH06-64-9808 c,9808,,?,1,75.39 x 42.64,?,?,?,?,?,Undetermined,,,,,,Not analyzed,,"Textiles, Laboratory Work sheet BOX SKH 2006- KS. 6 continuation",16,,,,2467,S8.1,1720,1750,1720-1750,1720-1750,Nursery
1,SKH05-6938,6938,1495,? Animal fiber,3,31.13 x 13.02   /  12.22 x 19.14   /  12.82 x 34.34,n/a,n/a,n/a,n/a,n/a,Not textile,,,,,,"Reddish brown; 3 clumps of reddish-brown fibers, probably animal fibers, that are much straighter and more uniform in color than the other sheep’s wool I have seen – only about 0.14 mm wide; is it the well-carded inner coat of an Icelandic sheep or hair f",,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #3 ADC",23,,,,1495,S18.7,1770,1790,1770-1790,1750-1810,Pantry
1,SKH04-3666,3666,1090,cellulose,1,16.39  x 5.29,,z,n/a,n/a,n/a,copper wrapped thread - import - tassel?,,,,,,,,,,,,,1090,MC.3,1750,1900,1750-1900,1750-1810,Midden Zone C
1,SKH07-02720,2720,,Cellulose material,0,not analyzed,not analyzed,not analyzed,n/a,n/a,n/a,Plied Rope ?,,,,,,No colour given; tiny fragment could be of cellulose base material ?,,Textiles Skalholt 2007 final (1),10,,,,606,S13.3,1800,1830,1800-1830,1780-1840,Main Corridor
1,SKH07-16352,16352,,Feathers,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,`,,,,,,,2865,S17.3,1700,1710,1700-1710,1690-1720,Meat Store
1,SKH05-7171,7171,1643,fibers and wood ?,1,110.64 x 29.42,n/a,n/a,n/a,n/a,n/a,Not Textile,,,,,,"On one side, on one edge there are coarse black and fine brown fibers sticking out of a hard, brown substance (leather/dirt?); on the other side, there are flat fragments of what look like wood covered in places by black fibers running widthwise across th",,"Textiles, Laboratory Work Sheets from SKH05-KS12 #6 ADC",11,,,,1643,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH02-18986,18986,116,gold?,0,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,"Gold foil, so tiny that I almost lost it, no photo but see the dynoscope.",,,,,,,116,S20.4,1750,1770,1750-1770,1750-1780,School Dormitory
1,SKH03-2573,2573,,Hair,1,,,,,,,Clump of hair,,,,,Clump of hair,,,,,,,,532,S4.3,1780,1800,1780-1800,1780-1810,Lodge/Dining Room & Chambers
1,SKH03-3223,3223,,Hair,3,,,,,,,Clumps of hair,,,,,Clumps of hair,,,,,,,,659,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH03-3223,3223,,hair,,,,,,,,hair,,,,,,hair,,Felts and Knits Skalholt 2,,,,,659,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH03-3345,3345,,hair,,,,,,,,hair,,,,,,hair,,Felts and Knits Skalholt 2,,,,,647,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
1,SKH04-4262,4262,,Hair,3,68.57 x 12.56; 56.67 x 4.68; 35.46 x 9.94,n/a,n/a,n/a,n/a,n/a,Hair (Human?),,,,,,Brown.,,SKH04 ks 2 cont.2,1,,,,1011,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
1,SKH03-1312,1312,,Hair,1,NA,,,,,,Loose hair and one nail,,,,,,Loose hair and one nail,,Felts and Knits Skalholt 2,,,,,243,S11.4,1740,1740,1740,1720-1750,Priests Living Quarters
1,SKH06-9617,9617,,Hair,1,,,,,,,,,,,,,Hair loose,,Felts and Knits Skalholt 2,,,,,2077,C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
1,SKH07-02821,2821,13637,"Hair, Human or Animal",,not analyzed,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,"No colour given; hair, not sure whether it is human or animal. Not analyzed",,Skalholt Box 6 Feb 2014 MHS-2 recovered.docx,10,,,,575,S4.2,1760,1780,1760-1780,1750-1780,Lodge/Dining Room & Chambers
1,SKH07-16365,16365,,Horse Hair,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,2943,S17.2,1690,1700,1690-1700,1690-1720,Meat Store
1,SKH07-16364,16364,,Horse Hair ?,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,n/a,,,,,,,2717,S17.4,1710,1720,1710-1720,1690-1720,Meat Store
1,SKH07-19043,19043,2812,Horse Hair and Wool?,2,NA,,NA,NA,NA,NA,n/a,,NA,NA,NA,,Hair and loosely spun yarn,,,,,,,2812,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
