SiteCode,No,NoType,Assigned,GroupNo,Space,Area,Unit type,Unit entropy,Description,Sieved,Date,ID,Building Phases_Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
SKH05,1685,Deposit,TRUE,1684,1684,743,Drain,in situ,filling in wall - mixed turf,FALSE,04/07/2005,MS,,,,,,
SKH07,2583,Deposit,TRUE,1257,1257,743,External area,in situ,"Paning, remains of floor",FALSE,05/06/2007,MS,C.1,1670,1720,1670-1720,1660-1720,Courtyard
SKH07,2608,Deposit,TRUE,1257,1257,743,External area,in situ,Flat stones - kitchen floor found?,FALSE,06/06/2007,MS,C.1,1670,1720,1670-1720,1660-1720,Courtyard
SKH07,2635,Deposit,TRUE,1257,1257,743,External area,in situ,Turf with small stones,FALSE,11/06/2007,MS,C.1,1670,1720,1670-1720,1660-1720,Courtyard
SKH07,2680,Deposit,TRUE,1257,1257,743,External area,in situ,"Turf and flat stones, levelling layer? Part of north wall?",FALSE,12/06/2007,MS,C.1,1670,1720,1670-1720,1660-1720,Courtyard
SKH07,2722,Deposit,TRUE,1257,1257,743,External area,in situ,Stones in fine silt - may be conm. with [2635],FALSE,13/06/2007,MS,C.1,1670,1720,1670-1720,1660-1720,Courtyard
SKH07,2729,Deposit,TRUE,1257,1257,743,External area,in situ,Turf and flat stones - levelling layer?,FALSE,14/06/2007,MS,C.1,1670,1720,1670-1720,1660-1720,Courtyard
SKH07,2779,Deposit,TRUE,1257,1257,743,External area,in situ,Turf (collapse?) with stones,FALSE,15/06/2007,MS,C.1,1670,1720,1670-1720,1660-1720,Courtyard
SKH07,2790,Deposit,TRUE,1257,1257,743,External area,in situ,"Turf layer, reddish, oven drain",FALSE,18/06/2007,SGB,C.1,1670,1720,1670-1720,1660-1720,Courtyard
SKH07,2922,Deposit,TRUE,1257,1257,743,External area,in situ,Group no. For levelling layers under [2254]; multi-context,TRUE,22/06/2007,MS,C.1,1670,1720,1670-1720,1660-1720,Courtyard
SKH03,490,Deposit,TRUE,1257,1257,743,External area,in situ,Flagstone pavement,FALSE,01/07/2003,SGB,C.2,1720,1830,1720-1830,1720-1840,Courtyard
SKH05,1699,Deposit,TRUE,1257,1257,743,Floor,in situ,flagstone / floor layer,FALSE,05/07/2005,EH,C.2,1720,1830,1720-1830,1720-1840,Courtyard
SKH06,1845,Deposit,TRUE,1077,1257,743,Drain,in situ,turf along south of drain,FALSE,31/05/2006,ÓGS,C.2,1720,1830,1720-1830,1720-1840,Courtyard
SKH06,1863,Deposit,TRUE,1257,1257,743,Midden,in situ,peatash dump,FALSE,01/06/2006,GML,C.2,1720,1830,1720-1830,1720-1840,Courtyard
SKH06,1877,Deposit,TRUE,1966,1257,743,External area,in situ,capstone over drain,FALSE,01/06/2006,GML,C.2,1720,1830,1720-1830,1720-1840,Courtyard
