"id_ref","find","context","quant","weight","obj_type","stone_type","group_no","space","area","unit_type","unit_entropy","sieved","phase","start","end","period","attribution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3771,1238,1,0.86,"Graphite Crayon","Graphite",831,"443","743","Floor","in situ",0,"S5.4",1780,1800,"1780-1810","Pantry/Study & Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","0.86",,,,,,,,,,,,,,,,,,,,,,
2,1515,277,1,3.50,"Green crayon","Ferroceladonite",272,"733","161","Drain","in situ",1,"S20.2",1670,1700,"1660-1720","School Dormitory",,,,,,,,,,,,,,,,,,,,,,,,"1","3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6311,1022,1,0.10,"Pigment","Celadonite",894,"878","161","Floor","in situ",1,"S21.1",1650,1690,"1630-1690","School Room",,,,,,,,,,,,,,,,,,,,,,,,"1","0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6487,950,1,0.08,"Pigment","Celadonite",842,"842","161","Wall","disorganized",0,"S22.4",1750,1780,"1750-1780","Assistant Teachers Quarters",,,,,,,,,,,,,,,,,,,,,,,,"1","0.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9741,2215,1,0.16,"Pigment","Celadonite",1211,"1200","161/743","Floor","in situ",1,"S5.2",1740,1760,"1720-1780","Bishops Dining Room",,,,,,,,,,,,,,,,,,,,,,,,"1","0.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3519,286,1,0.50,"Pigment","Celadonite",272,"733","161","Drain","in situ",1,"S20.2",1670,1700,"1660-1720","School Dormitory",,,,,,,,,,,,,,,,,,,,,,,,"0.5","0.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8849,1448,1,3.00,"Pigment","Honey calcite",1211,"1200","743","Floor","in situ",1,"S5.2",1740,1760,"1720-1780","Bishops Dining Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","3"
8,8905,1630,2,3.00,"Pigment","Calcite",1629,"1200","743","Floor","in situ",1,"S5.2",1740,1760,"1720-1780","Bishops Dining Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","3"
9,6267,956,2,29.00,"Pigment","Calcite",932,"1200","743","Floor","in situ",1,"S5.3",1760,1780,"1750-1780","Bishops Dining Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","29"
10,15066,2872,1,1.00,"Pigment","Calcite",2863,"2551","743","Floor","in situ",1,"S23.1",1700,1720,"1690-1720","Bishops Living Quarters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1"
11,6166,950,1,4.05,"Red Crayon","Artificial? Claystone?, grayish red",842,"842","161","Wall","disorganized",0,"S22.4",1750,1780,"1750-1780","Assistant Teachers Quarters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18911,1906,1,0.75,"Red Crayon","Artificial?, red",1916,"1916","161/743","Drain","in situ",1,"S4.1",1720,1760,"1720-1780","Lodge/Dining Room & Chambers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3526,424,1,1.50,"Red Crayon","Claystone",436,"733","161","Floor","in situ",1,"S20.1",1650,1670,"1630-1690","School Dormitory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3360,631,2,0.76,"Red Crayon","Claystone, dark red",436,"733","161","Floor","in situ",1,"S20.1",1650,1670,"1630-1690","School Dormitory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1196,195,1,0.68,"Red Crayon","Claystone? Artificial mixture?, dark redish brown",190,"733","161","Floor","in situ",1,"S20.3",1700,1750,"1690-1750","School Dormitory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6471,874,1,2.60,"Stylus","Slate",842,"842","161","Floor","disturbed",0,"S22.2",1700,1730,"1690-1750","Assistant Teachers Quarters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8945,1449,1,0.50,"Stylus","Slate",1211,"1200","743","Floor","in situ",1,"S5.2",1740,1760,"1720-1780","Bishops Dining Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,8774,1630,1,0.50,"Stylus","Slate",1629,"1200","743","Floor","in situ",1,"S5.2",1740,1760,"1720-1780","Bishops Dining Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,17157,2810,1,1.33,"Stylus","Slate",2800,"2520","161","Floor","in situ",1,"S25.1",1670,1710,"1660-1720","Boys Lodge (servants?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,17089,2817,1,3.07,"Stylus","Slate",2800,"2520","161","Floor","in situ",1,"S25.1",1670,1710,"1660-1720","Boys Lodge (servants?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,14487,2704,1,2.67,"Stylus","Slate",2521,"2520","161","Floor","in situ",0,"S25.2",1710,1720,"1690-1720","Boys Lodge (servants?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,14486,2708,1,3.48,"Stylus","Slate",2521,"2520","161","Floor","in situ",0,"S25.2",1710,1720,"1690-1720","Boys Lodge (servants?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8738,1329,1,4.00,"Stylus","Slate",1320,"1320","743","Floor","in situ",1,"S12.1",1690,1740,"1690-1750","Living Quarters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1344,237,1,0.50,"Stylus","Slate",39,"39","743","Roof","in situ",0,"S8.3",1800,1850,"1780-1870","Nursery/Private Chambers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1534,302,1,5.00,"Stylus","Slate",2757,"2757","743","Floor","disturbed",0,"S11.3",1730,1740,"1720-1750","Priests Living Quarters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1504,279,1,1.00,"Stylus","Slate",272,"733","161","Drain","in situ",1,"S20.2",1670,1700,"1660-1720","School Dormitory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6468,846,1,1.00,"Stylus","Slate",81,"81","161","Floor","in situ",1,"S21.3",1750,1770,"1750-1780","School Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6466,820,1,3.20,"Stylus","Slate",583,"583","161","Wall","in situ",0,"S15.2",1760,1800,"1750-1810","Wheystore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,8859,1469,1,0.30,"Writing chalk","Chalk",1211,"1200","743","Floor","in situ",1,"S5.2",1740,1760,"1720-1780","Bishops Dining Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3,,,,,,
30,6374,1228,1,4.30,"Writing chalk","Chalk",710,"1200","743","Floor","in situ",0,"S5.3",1760,1780,"1750-1780","Bishops Dining Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.3,,,,,,
31,18202,2948,1,0.13,"Writing chalk","Chalk",2658,"2551","743","Floor","in situ",1,"S23.1",1700,1720,"1690-1720","Bishops Living Quarters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.13,,,,,,
32,17137,2811,1,0.31,"Writing chalk","Chalk",2800,"2520","161","Floor","in situ",1,"S25.1",1670,1710,"1660-1720","Boys Lodge (servants?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.31,,,,,,
33,14546,2813,1,0.36,"Writing chalk","Chalk",2800,"2520","161","Floor","in situ",1,"S25.1",1670,1710,"1660-1720","Boys Lodge (servants?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.36,,,,,,
34,14544,2672,1,0.52,"Writing chalk","Chalk",2521,"2520","161","Floor","in situ",0,"S25.2",1710,1720,"1690-1720","Boys Lodge (servants?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.52,,,,,,
